segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupturetime (s),length (m),width (m), rise (s)
1,179.1888,-37.2297,3947.30,0.00,207.00,66.00,254.72,31.03,5000.0,4666.6,4.00
1,179.1629,-37.2698,3947.30,0.00,207.00,66.00,265.79,29.25,5000.0,4666.6,2.00
1,179.1371,-37.3099,3947.30,0.00,207.00,66.00,242.06,27.47,5000.0,4666.6,6.00
1,179.1112,-37.3500,3947.30,0.01,207.00,66.00,243.12,25.91,5000.0,4666.6,5.00
1,179.0854,-37.3901,3947.30,0.02,207.00,66.00,268.12,24.37,5000.0,4666.6,3.00
1,179.0596,-37.4302,3947.30,0.04,207.00,66.00,260.63,22.84,5000.0,4666.6,4.00
1,179.0337,-37.4703,3947.30,0.08,207.00,66.00,257.05,21.15,5000.0,4666.6,5.00
1,179.0079,-37.5104,3947.30,0.05,207.00,66.00,263.15,19.29,5000.0,4666.6,3.00
1,178.9820,-37.5505,3947.30,0.05,207.00,66.00,263.40,17.49,5000.0,4666.6,6.00
1,178.9562,-37.5906,3947.30,0.01,207.00,66.00,257.63,15.16,5000.0,4666.6,4.00
1,178.9304,-37.6307,3947.30,0.11,207.00,66.00,236.89,12.73,5000.0,4666.6,2.00
1,178.9045,-37.6707,3947.30,0.31,207.00,66.00,263.92,10.47,5000.0,4666.6,2.00
1,178.8787,-37.7108,3947.30,0.41,207.00,66.00,270.79,8.84,5000.0,4666.6,6.00
1,178.8528,-37.7509,3947.30,0.47,207.00,66.00,262.83,7.96,5000.0,4666.6,7.00
1,178.8270,-37.7910,3947.30,0.47,207.00,66.00,257.73,7.71,5000.0,4666.6,8.00
1,178.8012,-37.8311,3947.30,0.39,207.00,66.00,258.38,7.96,5000.0,4666.6,6.00
1,178.7753,-37.8712,3947.30,0.25,207.00,66.00,256.42,8.64,5000.0,4666.6,5.00
1,178.7495,-37.9113,3947.30,0.09,207.00,66.00,265.45,9.67,5000.0,4666.6,5.00
1,178.7236,-37.9514,3947.30,0.10,207.00,66.00,269.65,10.73,5000.0,4666.6,5.00
1,178.6978,-37.9915,3947.30,0.10,207.00,66.00,262.17,11.96,5000.0,4666.6,3.00
1,178.6720,-38.0316,3947.30,0.04,207.00,66.00,240.63,13.49,5000.0,4666.6,5.00
1,178.6461,-38.0717,3947.30,0.04,207.00,66.00,254.63,15.09,5000.0,4666.6,5.00
1,179.1695,-37.2220,8210.50,0.01,207.00,66.00,262.50,30.24,5000.0,4666.6,4.00
1,179.1437,-37.2621,8210.50,0.02,207.00,66.00,261.86,28.43,5000.0,4666.6,4.00
1,179.1178,-37.3022,8210.50,0.03,207.00,66.00,272.76,26.62,5000.0,4666.6,2.00
1,179.0920,-37.3423,8210.50,0.06,207.00,66.00,243.74,25.02,5000.0,4666.6,6.00
1,179.0661,-37.3823,8210.50,0.15,207.00,66.00,269.24,23.43,5000.0,4666.6,4.00
1,179.0403,-37.4224,8210.50,0.23,207.00,66.00,261.92,22.05,5000.0,4666.6,2.00
1,179.0145,-37.4625,8210.50,0.24,207.00,66.00,268.95,20.50,5000.0,4666.6,5.00
1,178.9886,-37.5026,8210.50,0.13,207.00,66.00,257.57,18.76,5000.0,4666.6,6.00
1,178.9628,-37.5427,8210.50,0.02,207.00,66.00,255.49,16.86,5000.0,4666.6,7.00
1,178.9369,-37.5828,8210.50,0.02,207.00,66.00,247.85,14.61,5000.0,4666.6,4.00
1,178.9111,-37.6229,8210.50,0.14,207.00,66.00,250.89,11.84,5000.0,4666.6,2.00
1,178.8853,-37.6630,8210.50,0.45,207.00,66.00,262.52,9.40,5000.0,4666.6,4.00
1,178.8594,-37.7031,8210.50,0.74,207.00,66.00,261.60,7.37,5000.0,4666.6,7.00
1,178.8336,-37.7432,8210.50,0.89,207.00,66.00,257.30,6.11,5000.0,4666.6,7.00
1,178.8078,-37.7833,8210.50,0.90,207.00,66.00,254.97,5.59,5000.0,4666.6,2.00
1,178.7819,-37.8234,8210.50,0.74,207.00,66.00,261.16,6.11,5000.0,4666.6,8.00
1,178.7561,-37.8634,8210.50,0.59,207.00,66.00,265.90,7.17,5000.0,4666.6,8.00
1,178.7302,-37.9035,8210.50,0.31,207.00,66.00,269.01,8.40,5000.0,4666.6,6.00
1,178.7044,-37.9436,8210.50,0.23,207.00,66.00,263.95,9.64,5000.0,4666.6,5.00
1,178.6786,-37.9837,8210.50,0.13,207.00,66.00,273.96,11.01,5000.0,4666.6,4.00
1,178.6527,-38.0238,8210.50,0.04,207.00,66.00,263.50,12.46,5000.0,4666.6,3.00
1,178.6269,-38.0639,8210.50,0.01,207.00,66.00,255.73,14.16,5000.0,4666.6,4.00
1,179.1502,-37.2142,12473.60,0.03,207.00,66.00,245.77,29.16,5000.0,4666.6,5.00
1,179.1244,-37.2543,12473.60,0.01,207.00,66.00,242.78,27.32,5000.0,4666.6,2.00
1,179.0986,-37.2944,12473.60,0.01,207.00,66.00,262.18,25.69,5000.0,4666.6,4.00
1,179.0727,-37.3345,12473.60,0.10,207.00,66.00,255.50,24.06,5000.0,4666.6,5.00
1,179.0469,-37.3746,12473.60,0.30,207.00,66.00,245.85,22.64,5000.0,4666.6,3.00
1,179.0211,-37.4147,12473.60,0.43,207.00,66.00,258.68,21.42,5000.0,4666.6,4.00
1,178.9952,-37.4548,12473.60,0.44,207.00,66.00,264.42,20.01,5000.0,4666.6,3.00
1,178.9694,-37.4949,12473.60,0.28,207.00,66.00,270.79,18.62,5000.0,4666.6,8.00
1,178.9435,-37.5350,12473.60,0.09,207.00,66.00,268.28,16.64,5000.0,4666.6,8.00
1,178.9177,-37.5750,12473.60,0.00,207.00,66.00,250.52,14.08,5000.0,4666.6,3.00
1,178.8919,-37.6151,12473.60,0.15,207.00,66.00,252.07,11.17,5000.0,4666.6,2.00
1,178.8660,-37.6552,12473.60,0.59,207.00,66.00,258.48,8.34,5000.0,4666.6,4.00
1,178.8402,-37.6953,12473.60,0.96,207.00,66.00,256.53,5.87,5000.0,4666.6,3.00
1,178.8143,-37.7354,12473.60,1.21,207.00,66.00,254.58,4.12,5000.0,4666.6,2.00
1,178.7885,-37.7755,12473.60,1.22,207.00,66.00,256.09,3.46,5000.0,4666.6,2.00
1,178.7627,-37.8156,12473.60,1.06,207.00,66.00,260.97,4.32,5000.0,4666.6,6.00
1,178.7368,-37.8557,12473.60,0.86,207.00,66.00,270.81,5.67,5000.0,4666.6,6.00
1,178.7110,-37.8958,12473.60,0.57,207.00,66.00,272.77,7.14,5000.0,4666.6,7.00
1,178.6851,-37.9359,12473.60,0.43,207.00,66.00,270.50,8.57,5000.0,4666.6,5.00
1,178.6593,-37.9760,12473.60,0.24,207.00,66.00,272.20,10.28,5000.0,4666.6,4.00
1,178.6335,-38.0161,12473.60,0.10,207.00,66.00,273.21,11.84,5000.0,4666.6,2.00
1,178.6076,-38.0562,12473.60,0.01,207.00,66.00,251.81,13.62,5000.0,4666.6,4.00
1,179.1310,-37.2065,16736.80,0.01,207.00,66.00,272.65,27.98,5000.0,4666.6,2.00
1,179.1052,-37.2466,16736.80,0.00,207.00,66.00,250.60,26.14,5000.0,4666.6,5.00
1,179.0793,-37.2866,16736.80,0.08,207.00,66.00,237.82,24.69,5000.0,4666.6,4.00
1,179.0535,-37.3267,16736.80,0.22,207.00,66.00,243.37,23.24,5000.0,4666.6,3.00
1,179.0276,-37.3668,16736.80,0.43,207.00,66.00,248.47,22.00,5000.0,4666.6,2.00
1,179.0018,-37.4069,16736.80,0.60,207.00,66.00,257.16,20.96,5000.0,4666.6,3.00
1,178.9760,-37.4470,16736.80,0.58,207.00,66.00,262.78,19.92,5000.0,4666.6,3.00
1,178.9501,-37.4871,16736.80,0.38,207.00,66.00,261.31,18.68,5000.0,4666.6,5.00
1,178.9243,-37.5272,16736.80,0.14,207.00,66.00,273.75,16.64,5000.0,4666.6,6.00
1,178.8984,-37.5673,16736.80,0.03,207.00,66.00,264.81,13.82,5000.0,4666.6,8.00
1,178.8726,-37.6074,16736.80,0.15,207.00,66.00,250.09,10.61,5000.0,4666.6,2.00
1,178.8468,-37.6475,16736.80,0.57,207.00,66.00,253.42,7.62,5000.0,4666.6,3.00
1,178.8209,-37.6876,16736.80,1.00,207.00,66.00,253.37,4.69,5000.0,4666.6,4.00
1,178.7951,-37.7277,16736.80,1.33,207.00,66.00,254.50,2.53,5000.0,4666.6,2.00
1,178.7693,-37.7678,16736.80,1.35,207.00,66.00,256.26,1.53,5000.0,4666.6,2.00
1,178.7434,-37.8078,16736.80,1.22,207.00,66.00,259.21,2.53,5000.0,4666.6,2.00
1,178.7176,-37.8479,16736.80,1.00,207.00,66.00,266.48,4.29,5000.0,4666.6,5.00
1,178.6917,-37.8880,16736.80,0.72,207.00,66.00,273.71,6.22,5000.0,4666.6,4.00
1,178.6659,-37.9281,16736.80,0.50,207.00,66.00,272.86,8.01,5000.0,4666.6,6.00
1,178.6401,-37.9682,16736.80,0.26,207.00,66.00,273.33,9.82,5000.0,4666.6,4.00
1,178.6142,-38.0083,16736.80,0.02,207.00,66.00,262.34,11.64,5000.0,4666.6,4.00
1,178.5884,-38.0484,16736.80,0.01,207.00,66.00,272.23,13.68,5000.0,4666.6,2.00
1,179.1117,-37.1987,21000.00,0.01,207.00,66.00,239.99,27.13,5000.0,4666.6,5.00
1,179.0859,-37.2388,21000.00,0.03,207.00,66.00,251.72,25.47,5000.0,4666.6,3.00
1,179.0601,-37.2789,21000.00,0.19,207.00,66.00,248.28,24.02,5000.0,4666.6,3.00
1,179.0342,-37.3190,21000.00,0.32,207.00,66.00,234.62,22.57,5000.0,4666.6,5.00
