segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupturetime (s),length (m),width (m)
1,166.652345,-45.285024,10976.828100,0.090000,35.000000,23.000000,95.000000,9.040000,6000.000000,5000.000000
1,166.700797,-45.243487,10976.828100,0.090000,35.000000,23.000000,95.000000,7.050000,6000.000000,5000.000000
1,166.749176,-45.201924,10976.828100,0.780000,35.000000,23.000000,95.000000,5.070000,6000.000000,5000.000000
1,166.797484,-45.160338,10976.828100,1.270000,35.000000,23.000000,95.000000,3.110000,6000.000000,5000.000000
1,166.845720,-45.118727,10976.828100,1.500000,35.000000,23.000000,95.000000,1.300000,6000.000000,5000.000000
1,166.893884,-45.077092,10976.828100,1.500000,35.000000,23.000000,95.000000,1.300000,6000.000000,5000.000000
1,166.941976,-45.035432,10976.828100,1.270000,35.000000,23.000000,95.000000,3.110000,6000.000000,5000.000000
1,166.989997,-44.993749,10976.828100,0.780000,35.000000,23.000000,95.000000,5.070000,6000.000000,5000.000000
1,167.037947,-44.952042,10976.828100,0.090000,35.000000,23.000000,95.000000,7.050000,6000.000000,5000.000000
1,167.085825,-44.910310,10976.828100,0.090000,35.000000,23.000000,95.000000,9.040000,6000.000000,5000.000000
1,166.697576,-45.311222,12930.483400,0.090000,35.000000,23.000000,95.000000,9.340000,6000.000000,5000.000000
1,166.746021,-45.269665,12930.483400,0.950000,35.000000,23.000000,95.000000,7.430000,6000.000000,5000.000000
1,166.794394,-45.228083,12930.483400,1.650000,35.000000,23.000000,95.000000,5.590000,6000.000000,5000.000000
1,166.842695,-45.186477,12930.483400,1.920000,35.000000,23.000000,95.000000,3.910000,6000.000000,5000.000000
1,166.890924,-45.144846,12930.483400,2.100000,35.000000,23.000000,95.000000,2.690000,6000.000000,5000.000000
1,166.939081,-45.103192,12930.483400,2.100000,35.000000,23.000000,95.000000,2.690000,6000.000000,5000.000000
1,166.987166,-45.061513,12930.483400,1.920000,35.000000,23.000000,95.000000,3.910000,6000.000000,5000.000000
1,167.035180,-45.019810,12930.483400,1.650000,35.000000,23.000000,95.000000,5.590000,6000.000000,5000.000000
1,167.083122,-44.978083,12930.483400,0.950000,35.000000,23.000000,95.000000,7.430000,6000.000000,5000.000000
1,167.130993,-44.936332,12930.483400,0.090000,35.000000,23.000000,95.000000,9.340000,6000.000000,5000.000000
1,166.742850,-45.337405,14884.139600,0.780000,35.000000,23.000000,95.000000,9.920000,6000.000000,5000.000000
1,166.791289,-45.295828,14884.139600,1.650000,35.000000,23.000000,95.000000,8.150000,6000.000000,5000.000000
1,166.839655,-45.254226,14884.139600,1.980000,35.000000,23.000000,95.000000,6.510000,6000.000000,5000.000000
1,166.887949,-45.212600,14884.139600,2.270000,35.000000,23.000000,95.000000,5.130000,6000.000000,5000.000000
1,166.936170,-45.170950,14884.139600,2.410000,35.000000,23.000000,95.000000,4.280000,6000.000000,5000.000000
1,166.984320,-45.129275,14884.139600,2.410000,35.000000,23.000000,95.000000,4.280000,6000.000000,5000.000000
1,167.032398,-45.087577,14884.139600,2.270000,35.000000,23.000000,95.000000,5.130000,6000.000000,5000.000000
1,167.080404,-45.045854,14884.139600,2.040000,35.000000,23.000000,95.000000,6.510000,6000.000000,5000.000000
1,167.128339,-45.004108,14884.139600,1.650000,35.000000,23.000000,95.000000,8.150000,6000.000000,5000.000000
1,167.176203,-44.962337,14884.139600,0.780000,35.000000,23.000000,95.000000,9.920000,6000.000000,5000.000000
1,166.788167,-45.363571,16837.794900,1.270000,35.000000,23.000000,95.000000,10.730000,6000.000000,5000.000000
1,166.836599,-45.321974,16837.794900,1.920000,35.000000,23.000000,95.000000,9.110000,6000.000000,5000.000000
1,166.884958,-45.280353,16837.794900,2.270000,35.000000,23.000000,95.000000,7.680000,6000.000000,5000.000000
1,166.933245,-45.238707,16837.794900,2.490000,35.000000,23.000000,95.000000,6.560000,6000.000000,5000.000000
1,166.981459,-45.197037,16837.794900,2.600000,35.000000,23.000000,95.000000,5.920000,6000.000000,5000.000000
1,167.029601,-45.155343,16837.794900,2.600000,35.000000,23.000000,95.000000,5.920000,6000.000000,5000.000000
1,167.077672,-45.113625,16837.794900,2.490000,35.000000,23.000000,95.000000,6.560000,6000.000000,5000.000000
1,167.125671,-45.071883,16837.794900,2.270000,35.000000,23.000000,95.000000,7.680000,6000.000000,5000.000000
1,167.173598,-45.030117,16837.794900,1.920000,35.000000,23.000000,95.000000,9.110000,6000.000000,5000.000000
1,167.221455,-44.988327,16837.794900,1.270000,35.000000,23.000000,95.000000,10.730000,6000.000000,5000.000000
1,166.833527,-45.389722,18791.451200,1.500000,35.000000,23.000000,95.000000,11.720000,6000.000000,5000.000000
1,166.881951,-45.348105,18791.451200,2.100000,35.000000,23.000000,95.000000,10.260000,6000.000000,5000.000000
1,166.930303,-45.306464,18791.451200,2.410000,35.000000,23.000000,95.000000,9.010000,6000.000000,5000.000000
1,166.978583,-45.264798,18791.451200,2.600000,35.000000,23.000000,95.000000,8.080000,6000.000000,5000.000000
1,167.026790,-45.223109,18791.451200,2.730000,35.000000,23.000000,95.000000,7.570000,6000.000000,5000.000000
1,167.074925,-45.181395,18791.451200,2.730000,35.000000,23.000000,95.000000,7.570000,6000.000000,5000.000000
1,167.122988,-45.139657,18791.451200,2.600000,35.000000,23.000000,95.000000,8.080000,6000.000000,5000.000000
1,167.170980,-45.097895,18791.451200,2.410000,35.000000,23.000000,95.000000,9.010000,6000.000000,5000.000000
1,167.218900,-45.056110,18791.451200,2.100000,35.000000,23.000000,95.000000,10.260000,6000.000000,5000.000000
1,167.266748,-45.014300,18791.451200,1.500000,35.000000,23.000000,95.000000,11.720000,6000.000000,5000.000000
2,166.884030,-45.402270,21433.941400,1.500000,35.000000,35.000000,95.000000,9.040000,6000.000000,5000.000000
2,166.932461,-45.360656,21433.941400,2.100000,35.000000,35.000000,95.000000,7.050000,6000.000000,5000.000000
2,166.980818,-45.319019,21433.941400,2.410000,35.000000,35.000000,95.000000,5.070000,6000.000000,5000.000000
2,167.029103,-45.277357,21433.941400,2.600000,35.000000,35.000000,95.000000,3.110000,6000.000000,5000.000000
2,167.077316,-45.235671,21433.941400,2.730000,35.000000,35.000000,95.000000,1.300000,6000.000000,5000.000000
2,167.125457,-45.193961,21433.941400,2.730000,35.000000,35.000000,95.000000,1.300000,6000.000000,5000.000000
2,167.173525,-45.152226,21433.941400,2.600000,35.000000,35.000000,95.000000,3.110000,6000.000000,5000.000000
2,167.221522,-45.110468,21433.941400,2.410000,35.000000,35.000000,95.000000,5.070000,6000.000000,5000.000000
2,167.269446,-45.068686,21433.941400,2.100000,35.000000,35.000000,95.000000,7.050000,6000.000000,5000.000000
2,167.317300,-45.026880,21433.941400,1.500000,35.000000,35.000000,95.000000,9.040000,6000.000000,5000.000000
2,166.924477,-45.425502,24301.824200,1.270000,35.000000,35.000000,95.000000,9.340000,6000.000000,5000.000000
2,166.972902,-45.383871,24301.824200,1.920000,35.000000,35.000000,95.000000,7.430000,6000.000000,5000.000000
2,167.021252,-45.342215,24301.824200,2.270000,35.000000,35.000000,95.000000,5.590000,6000.000000,5000.000000
2,167.069531,-45.300536,24301.824200,2.490000,35.000000,35.000000,95.000000,3.910000,6000.000000,5000.000000
2,167.117737,-45.258832,24301.824200,2.600000,35.000000,35.000000,95.000000,2.690000,6000.000000,5000.000000
2,167.165871,-45.217105,24301.824200,2.600000,35.000000,35.000000,95.000000,2.690000,6000.000000,5000.000000
2,167.213933,-45.175353,24301.824200,2.490000,35.000000,35.000000,95.000000,3.910000,6000.000000,5000.000000
2,167.261922,-45.133577,24301.824200,2.270000,35.000000,35.000000,95.000000,5.590000,6000.000000,5000.000000
2,167.309840,-45.091778,24301.824200,1.920000,35.000000,35.000000,95.000000,7.430000,6000.000000,5000.000000
2,167.357686,-45.049955,24301.824200,1.270000,35.000000,35.000000,95.000000,9.340000,6000.000000,5000.000000
2,166.964959,-45.448722,27169.707000,0.780000,35.000000,35.000000,95.000000,9.920000,6000.000000,5000.000000
2,167.013376,-45.407073,27169.707000,1.650000,35.000000,35.000000,95.000000,8.150000,6000.000000,5000.000000
2,167.061721,-45.365400,27169.707000,2.040000,35.000000,35.000000,95.000000,6.510000,6000.000000,5000.000000
2,167.109992,-45.323702,27169.707000,2.270000,35.000000,35.000000,95.000000,5.130000,6000.000000,5000.000000
2,167.158192,-45.281981,27169.707000,2.410000,35.000000,35.000000,95.000000,4.280000,6000.000000,5000.000000
2,167.206319,-45.240236,27169.707000,2.410000,35.000000,35.000000,95.000000,4.280000,6000.000000,5000.000000
2,167.254373,-45.198467,27169.707000,2.270000,35.000000,35.000000,95.000000,5.130000,6000.000000,5000.000000
2,167.302357,-45.156674,27169.707000,2.040000,35.000000,35.000000,95.000000,6.510000,6000.000000,5000.000000
2,167.350267,-45.114857,27169.707000,1.650000,35.000000,35.000000,95.000000,8.150000,6000.000000,5000.000000
2,167.398106,-45.073016,27169.707000,0.780000,35.000000,35.000000,95.000000,9.920000,6000.000000,5000.000000
2,167.005474,-45.471928,30037.589800,0.090000,35.000000,35.000000,95.000000,10.730000,6000.000000,5000.000000
2,167.053886,-45.430262,30037.589800,0.950000,35.000000,35.000000,95.000000,9.110000,6000.000000,5000.000000
2,167.102223,-45.388571,30037.589800,1.650000,35.000000,35.000000,95.000000,7.680000,6000.000000,5000.000000
2,167.150488,-45.346857,30037.589800,1.920000,35.000000,35.000000,95.000000,6.560000,6000.000000,5000.000000
2,167.198680,-45.305118,30037.589800,2.100000,35.000000,35.000000,95.000000,5.920000,6000.000000,5000.000000
2,167.246800,-45.263355,30037.589800,2.100000,35.000000,35.000000,95.000000,5.920000,6000.000000,5000.000000
2,167.294849,-45.221568,30037.589800,1.920000,35.000000,35.000000,95.000000,6.560000,6000.000000,5000.000000
2,167.342824,-45.179757,30037.589800,1.650000,35.000000,35.000000,95.000000,7.680000,6000.000000,5000.000000
2,167.390728,-45.137923,30037.589800,0.950000,35.000000,35.000000,95.000000,9.110000,6000.000000,5000.000000
2,167.438559,-45.096065,30037.589800,0.090000,35.000000,35.000000,95.000000,10.730000,6000.000000,5000.000000
2,167.046025,-45.495121,32905.472700,0.090000,35.000000,35.000000,95.000000,11.720000,6000.000000,5000.000000
2,167.094428,-45.453437,32905.472700,0.090000,35.000000,35.000000,95.000000,10.260000,6000.000000,5000.000000
2,167.142760,-45.411729,32905.472700,0.780000,35.000000,35.000000,95.000000,9.010000,6000.000000,5000.000000
2,167.191017,-45.369997,32905.472700,1.270000,35.000000,35.000000,95.000000,8.080000,6000.000000,5000.000000
2,167.239203,-45.328241,32905.472700,1.500000,35.000000,35.000000,95.000000,7.570000,6000.000000,5000.000000
2,167.287317,-45.286461,32905.472700,1.500000,35.000000,35.000000,95.000000,7.570000,6000.000000,5000.000000
2,167.335356,-45.244656,32905.472700,1.270000,35.000000,35.000000,95.000000,8.080000,6000.000000,5000.000000
2,167.383325,-45.202829,32905.472700,0.780000,35.000000,35.000000,95.000000,9.010000,6000.000000,5000.000000
2,167.431221,-45.160976,32905.472700,0.090000,35.000000,35.000000,95.000000,10.260000,6000.000000,5000.000000
2,167.479047,-45.119101,32905.472700,0.090000,35.000000,35.000000,95.000000,11.720000,6000.000000,5000.000000
