segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupturetime (s),length (m),width (m)
1,167.010061,-44.786882,847.457092,0.000000,48.000000,45.000000,116.158997,16.761000,3000.000000,3000.000000
1,167.039946,-44.770381,847.457092,0.000000,48.000000,45.000000,116.158997,16.219999,3000.000000,3000.000000
1,167.069815,-44.753871,847.457092,0.000000,48.000000,45.000000,116.158997,15.696000,3000.000000,3000.000000
1,167.099667,-44.737352,847.457092,0.000000,48.000000,45.000000,116.158997,15.192000,3000.000000,3000.000000
1,167.129502,-44.720825,847.457092,0.000000,48.000000,45.000000,113.220001,14.710000,3000.000000,3000.000000
1,167.159321,-44.704289,847.457092,0.000000,48.000000,45.000000,113.220001,14.252000,3000.000000,3000.000000
1,167.189122,-44.687744,847.457092,0.000000,48.000000,45.000000,113.220001,13.820000,3000.000000,3000.000000
1,167.218907,-44.671190,847.457092,0.000000,48.000000,45.000000,124.567001,13.418000,3000.000000,3000.000000
1,167.248675,-44.654627,847.457092,0.000000,48.000000,45.000000,118.446999,13.048000,3000.000000,3000.000000
1,167.278427,-44.638056,847.457092,0.000000,48.000000,45.000000,118.446999,12.712000,3000.000000,3000.000000
1,167.308162,-44.621477,847.457092,0.000000,48.000000,45.000000,118.446999,12.414000,3000.000000,3000.000000
1,167.337880,-44.604888,847.457092,0.000000,48.000000,45.000000,118.446999,12.156000,3000.000000,3000.000000
1,167.367581,-44.588291,847.457092,0.000000,48.000000,45.000000,118.446999,11.941000,3000.000000,3000.000000
1,167.397266,-44.571685,847.457092,0.000000,48.000000,45.000000,118.446999,11.771000,3000.000000,3000.000000
1,167.426934,-44.555071,847.457092,0.000000,48.000000,45.000000,131.272995,11.648000,3000.000000,3000.000000
1,167.456585,-44.538448,847.457092,0.000000,48.000000,45.000000,131.272995,11.573000,3000.000000,3000.000000
1,167.026445,-44.801935,2968.777340,0.000000,48.000000,45.000000,116.158997,16.247999,3000.000000,3000.000000
1,167.056335,-44.785429,2968.777340,0.000000,48.000000,45.000000,116.158997,15.688000,3000.000000,3000.000000
1,167.086208,-44.768915,2968.777340,0.000000,48.000000,45.000000,116.158997,15.146000,3000.000000,3000.000000
1,167.116063,-44.752392,2968.777340,0.000000,48.000000,45.000000,113.220001,14.623000,3000.000000,3000.000000
1,167.145903,-44.735861,2968.777340,0.000000,48.000000,45.000000,124.567001,14.121000,3000.000000,3000.000000
1,167.175725,-44.719320,2968.777340,0.000000,48.000000,45.000000,118.446999,13.644000,3000.000000,3000.000000
1,167.205531,-44.702771,2968.777340,0.000000,48.000000,45.000000,118.446999,13.192000,3000.000000,3000.000000
1,167.235319,-44.686213,2968.777340,0.000000,48.000000,45.000000,114.317001,12.771000,3000.000000,3000.000000
1,167.265091,-44.669647,2968.777340,0.000000,48.000000,45.000000,122.216003,12.381000,3000.000000,3000.000000
1,167.294847,-44.653072,2968.777340,0.000000,48.000000,45.000000,129.403000,12.027000,3000.000000,3000.000000
1,167.324585,-44.636488,2968.777340,0.000000,48.000000,45.000000,129.403000,11.711000,3000.000000,3000.000000
1,167.354307,-44.619895,2968.777340,0.000000,48.000000,45.000000,129.403000,11.437000,3000.000000,3000.000000
1,167.384013,-44.603294,2968.777340,0.000000,48.000000,45.000000,129.403000,11.208000,3000.000000,3000.000000
1,167.413701,-44.586684,2968.777340,0.000000,48.000000,45.000000,129.632996,11.026000,3000.000000,3000.000000
1,167.443373,-44.570065,2968.777340,0.000000,48.000000,45.000000,129.403000,10.895001,3000.000000,3000.000000
1,167.473028,-44.553438,2968.777340,0.000000,48.000000,45.000000,86.313003,10.815000,3000.000000,3000.000000
1,167.042838,-44.816985,5090.097660,0.000000,48.000000,45.000000,116.158997,15.754000,3000.000000,3000.000000
1,167.072732,-44.800476,5090.097660,0.000000,48.000000,45.000000,116.158997,15.176000,3000.000000,3000.000000
1,167.102608,-44.783957,5090.097660,0.000000,48.000000,45.000000,124.567001,14.614000,3000.000000,3000.000000
1,167.132468,-44.767430,5090.097660,0.000000,48.000000,45.000000,124.567001,14.072000,3000.000000,3000.000000
1,167.162311,-44.750895,5090.097660,0.000000,48.000000,45.000000,118.446999,13.550000,3000.000000,3000.000000
1,167.192138,-44.734350,5090.097660,0.000000,48.000000,45.000000,116.540001,13.051000,3000.000000,3000.000000
1,167.221947,-44.717797,5090.097660,0.000000,48.000000,45.000000,123.960999,12.579000,3000.000000,3000.000000
1,167.251740,-44.701235,5090.097660,0.000000,48.000000,45.000000,123.960999,12.136000,3000.000000,3000.000000
1,167.281516,-44.684664,5090.097660,0.000000,48.000000,45.000000,123.960999,11.725000,3000.000000,3000.000000
1,167.311275,-44.668085,5090.097660,0.000000,48.000000,45.000000,129.632996,11.350000,3000.000000,3000.000000
1,167.341018,-44.651497,5090.097660,0.000000,48.000000,45.000000,129.632996,11.015000,3000.000000,3000.000000
1,167.370743,-44.634900,5090.097660,0.000000,48.000000,45.000000,129.632996,10.724000,3000.000000,3000.000000
1,167.400452,-44.618295,5090.097660,0.000000,48.000000,45.000000,129.632996,10.479000,3000.000000,3000.000000
1,167.430145,-44.601681,5090.097660,0.000000,48.000000,45.000000,129.632996,10.285000,3000.000000,3000.000000
1,167.459820,-44.585058,5090.097660,0.000000,48.000000,45.000000,129.632996,10.144000,3000.000000,3000.000000
1,167.489479,-44.568427,5090.097660,0.000000,48.000000,45.000000,129.632996,10.058000,3000.000000,3000.000000
1,167.059239,-44.832034,7211.417970,0.000000,48.000000,45.000000,119.630997,15.281000,3000.000000,3000.000000
1,167.089137,-44.815520,7211.417970,0.000000,48.000000,45.000000,124.567001,14.685000,3000.000000,3000.000000
1,167.119017,-44.798998,7211.417970,0.000000,48.000000,45.000000,118.446999,14.104000,3000.000000,3000.000000
1,167.148881,-44.782467,7211.417970,0.000000,48.000000,45.000000,123.960999,13.541000,3000.000000,3000.000000
1,167.178728,-44.765927,7211.417970,0.000000,48.000000,45.000000,123.960999,12.998000,3000.000000,3000.000000
1,167.208559,-44.749378,7211.417970,0.000000,48.000000,45.000000,124.150002,12.477000,3000.000000,3000.000000
1,167.238372,-44.732821,7211.417970,0.000000,48.000000,45.000000,125.150002,11.982000,3000.000000,3000.000000
1,167.268169,-44.716255,7211.417970,0.000000,48.000000,45.000000,130.746002,11.516000,3000.000000,3000.000000
1,167.297949,-44.699680,7211.417970,0.000000,48.000000,45.000000,128.395004,11.083000,3000.000000,3000.000000
1,167.327712,-44.683096,7211.417970,0.000000,48.000000,45.000000,128.395004,10.685000,3000.000000,3000.000000
1,167.357458,-44.666504,7211.417970,0.000000,48.000000,45.000000,128.395004,10.329000,3000.000000,3000.000000
1,167.387188,-44.649903,7211.417970,0.000000,48.000000,45.000000,128.395004,10.017000,3000.000000,3000.000000
1,167.416900,-44.633294,7211.417970,0.000000,48.000000,45.000000,128.395004,9.755000,3000.000000,3000.000000
1,167.446597,-44.616676,7211.417970,0.000000,48.000000,45.000000,130.746002,9.546000,3000.000000,3000.000000
1,167.476276,-44.600049,7211.417970,0.000000,48.000000,45.000000,129.048996,9.393000,3000.000000,3000.000000
1,167.505939,-44.583414,7211.417970,0.000000,48.000000,45.000000,129.048996,9.301000,3000.000000,3000.000000
1,167.075649,-44.847080,9332.738280,0.000000,48.000000,45.000000,124.567001,14.833000,3000.000000,3000.000000
1,167.105550,-44.830563,9332.738280,0.000000,48.000000,45.000000,122.216003,14.218000,3000.000000,3000.000000
1,167.135435,-44.814036,9332.738280,0.000000,48.000000,45.000000,123.960999,13.617000,3000.000000,3000.000000
1,167.165303,-44.797501,9332.738280,0.000000,48.000000,45.000000,123.167999,13.033000,3000.000000,3000.000000
1,167.195154,-44.780957,9332.738280,0.000000,48.000000,45.000000,120.959000,12.468000,3000.000000,3000.000000
1,167.224988,-44.764404,9332.738280,0.000000,48.000000,45.000000,122.378998,11.924000,3000.000000,3000.000000
1,167.254805,-44.747842,9332.738280,0.000000,48.000000,45.000000,124.334000,11.405000,3000.000000,3000.000000
1,167.284606,-44.731272,9332.738280,0.000000,48.000000,45.000000,123.817001,10.914000,3000.000000,3000.000000
1,167.314390,-44.714693,9332.738280,0.000000,48.000000,45.000000,123.817001,10.456000,3000.000000,3000.000000
