segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupturetime (s),length (m),width (m)
1,178.131796,-38.879367,23493.904300,0.000000,60.000000,45.000000,119.081000,13.900000,2000.000000,2000.000000
1,178.151035,-38.869514,23493.904300,0.000000,60.000000,45.000000,119.808000,22.603000,2000.000000,2000.000000
1,178.170267,-38.859658,23493.904300,0.010000,60.000000,45.000000,119.808000,22.127000,2000.000000,2000.000000
1,178.189495,-38.849799,23493.904300,0.010000,60.000000,45.000000,119.808000,21.668000,2000.000000,2000.000000
1,178.208716,-38.839938,23493.904300,0.010000,60.000000,45.000000,119.808000,21.228000,2000.000000,2000.000000
1,178.227933,-38.830073,23493.904300,0.010000,60.000000,45.000000,119.808000,20.810000,2000.000000,2000.000000
1,178.247143,-38.820206,23493.904300,0.010000,60.000000,45.000000,119.808000,20.416000,2000.000000,2000.000000
1,178.266348,-38.810336,23493.904300,0.010000,60.000000,45.000000,119.808000,20.048000,2000.000000,2000.000000
1,178.285548,-38.800463,23493.904300,0.010000,60.000000,45.000000,119.808000,19.710000,2000.000000,2000.000000
1,178.304742,-38.790588,23493.904300,0.010000,60.000000,45.000000,119.808000,19.405000,2000.000000,2000.000000
1,178.323931,-38.780709,23493.904300,0.010000,60.000000,45.000000,119.808000,19.135000,2000.000000,2000.000000
1,178.343114,-38.770828,23493.904300,0.010000,60.000000,45.000000,119.808000,18.903000,2000.000000,2000.000000
1,178.362291,-38.760944,23493.904300,0.000000,60.000000,45.000000,119.808000,18.712000,2000.000000,2000.000000
1,178.381463,-38.751057,23493.904300,0.000000,60.000000,45.000000,119.808000,18.565000,2000.000000,2000.000000
1,178.400629,-38.741167,23493.904300,0.000000,60.000000,45.000000,119.659000,9.269000,2000.000000,2000.000000
1,178.419790,-38.731275,23493.904300,0.000000,60.000000,45.000000,119.281000,9.215000,2000.000000,2000.000000
1,178.438946,-38.721380,23493.904300,0.000000,60.000000,45.000000,115.676000,9.209000,2000.000000,2000.000000
1,178.458095,-38.711482,23493.904300,0.000000,60.000000,45.000000,115.676000,9.251000,2000.000000,2000.000000
1,178.477240,-38.701581,23493.904300,0.000000,60.000000,45.000000,131.894000,9.341000,2000.000000,2000.000000
1,178.496378,-38.691678,23493.904300,0.000000,60.000000,45.000000,112.100000,9.477000,2000.000000,2000.000000
1,178.515512,-38.681771,23493.904300,0.000000,60.000000,45.000000,112.100000,9.657000,2000.000000,2000.000000
1,178.534640,-38.671862,23493.904300,0.000000,60.000000,45.000000,112.100000,9.879000,2000.000000,2000.000000
1,178.553762,-38.661950,23493.904300,0.000000,60.000000,45.000000,98.929000,10.140000,2000.000000,2000.000000
1,178.572878,-38.652036,23493.904300,0.000000,60.000000,45.000000,98.929000,10.437000,2000.000000,2000.000000
1,178.591990,-38.642118,23493.904300,0.000000,60.000000,45.000000,98.929000,10.767000,2000.000000,2000.000000
1,178.611095,-38.632198,23493.904300,0.000000,60.000000,45.000000,300.000000,11.127000,2000.000000,2000.000000
1,178.630196,-38.622275,23493.904300,0.000000,60.000000,45.000000,300.000000,11.515000,2000.000000,2000.000000
1,178.649290,-38.612350,23493.904300,0.000000,60.000000,45.000000,300.000000,11.928000,2000.000000,2000.000000
1,178.668379,-38.602422,23493.904300,0.000000,60.000000,45.000000,300.000000,12.362000,2000.000000,2000.000000
1,178.687463,-38.592490,23493.904300,0.000000,60.000000,45.000000,300.000000,12.817000,2000.000000,2000.000000
1,178.140710,-38.890001,24908.117200,0.010000,60.000000,45.000000,119.808000,22.663000,2000.000000,2000.000000
1,178.159950,-38.880147,24908.117200,0.010000,60.000000,45.000000,119.808000,22.155000,2000.000000,2000.000000
1,178.179184,-38.870289,24908.117200,0.010000,60.000000,45.000000,119.808000,21.661000,2000.000000,2000.000000
1,178.198412,-38.860429,24908.117200,0.010000,60.000000,45.000000,119.808000,21.184000,2000.000000,2000.000000
1,178.217635,-38.850566,24908.117200,0.020000,60.000000,45.000000,119.808000,20.726000,2000.000000,2000.000000
1,178.236853,-38.840700,24908.117200,0.020000,60.000000,45.000000,119.808000,20.289000,2000.000000,2000.000000
1,178.256065,-38.830831,24908.117200,0.020000,60.000000,45.000000,119.808000,19.876000,2000.000000,2000.000000
1,178.275271,-38.820959,24908.117200,0.020000,60.000000,45.000000,119.808000,19.489000,2000.000000,2000.000000
1,178.294472,-38.811085,24908.117200,0.020000,60.000000,45.000000,119.808000,19.132000,2000.000000,2000.000000
1,178.313667,-38.801208,24908.117200,0.020000,60.000000,45.000000,119.808000,18.808000,2000.000000,2000.000000
1,178.332857,-38.791328,24908.117200,0.010000,60.000000,45.000000,119.808000,18.521000,2000.000000,2000.000000
1,178.352041,-38.781445,24908.117200,0.010000,60.000000,45.000000,119.808000,18.273000,2000.000000,2000.000000
1,178.371220,-38.771559,24908.117200,0.010000,60.000000,45.000000,119.808000,18.069000,2000.000000,2000.000000
1,178.390393,-38.761671,24908.117200,0.010000,60.000000,45.000000,119.808000,17.911000,2000.000000,2000.000000
1,178.409561,-38.751780,24908.117200,0.000000,60.000000,45.000000,119.808000,17.802000,2000.000000,2000.000000
1,178.428723,-38.741886,24908.117200,0.000000,60.000000,45.000000,119.328000,8.549000,2000.000000,2000.000000
1,178.447880,-38.731989,24908.117200,0.000000,60.000000,45.000000,118.956000,8.542000,2000.000000,2000.000000
1,178.467031,-38.722089,24908.117200,0.000000,60.000000,45.000000,115.061000,8.588000,2000.000000,2000.000000
1,178.486176,-38.712187,24908.117200,0.000000,60.000000,45.000000,119.030000,8.685000,2000.000000,2000.000000
1,178.505316,-38.702282,24908.117200,0.000000,60.000000,45.000000,129.874000,8.831000,2000.000000,2000.000000
1,178.524451,-38.692374,24908.117200,0.000000,60.000000,45.000000,131.894000,9.024000,2000.000000,2000.000000
1,178.543580,-38.682463,24908.117200,0.000000,60.000000,45.000000,112.100000,9.261000,2000.000000,2000.000000
1,178.562703,-38.672550,24908.117200,0.000000,60.000000,45.000000,112.100000,9.539000,2000.000000,2000.000000
1,178.581821,-38.662634,24908.117200,0.000000,60.000000,45.000000,98.929000,9.854000,2000.000000,2000.000000
1,178.600934,-38.652715,24908.117200,0.000000,60.000000,45.000000,98.929000,10.203000,2000.000000,2000.000000
1,178.620041,-38.642793,24908.117200,0.000000,60.000000,45.000000,98.929000,10.583000,2000.000000,2000.000000
1,178.639142,-38.632869,24908.117200,0.000000,60.000000,45.000000,300.000000,10.990000,2000.000000,2000.000000
1,178.658238,-38.622942,24908.117200,0.000000,60.000000,45.000000,300.000000,11.421000,2000.000000,2000.000000
1,178.677329,-38.613012,24908.117200,0.000000,60.000000,45.000000,300.000000,11.874000,2000.000000,2000.000000
1,178.696413,-38.603079,24908.117200,0.000000,60.000000,45.000000,300.000000,12.347000,2000.000000,2000.000000
1,178.149626,-38.900635,26322.332000,0.010000,60.000000,45.000000,119.808000,22.251000,2000.000000,2000.000000
1,178.168867,-38.890779,26322.332000,0.020000,60.000000,45.000000,119.808000,21.726000,2000.000000,2000.000000
