segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupturetime (s),length (m),width (m)
1,165.592000,-46.312200,6350.775700,0.041940,23.500000,13.370000,139.210000,nan,5000.000000,5000.000000
1,165.649000,-46.329400,7906.544700,0.090050,23.500000,18.130000,136.720000,nan,5000.000000,5000.000000
1,165.704000,-46.346300,9769.246700,0.137980,23.500000,21.870000,137.250000,nan,5000.000000,5000.000000
1,165.759000,-46.362700,11871.709100,0.177040,23.500000,24.860000,138.990000,nan,5000.000000,5000.000000
1,165.812000,-46.378800,14167.486900,0.200260,23.500000,27.330000,141.310000,nan,5000.000000,5000.000000
1,165.864000,-46.394600,16625.729200,0.203550,23.500000,29.450000,144.000000,nan,5000.000000,5000.000000
1,165.915000,-46.410100,19227.878100,0.186200,23.500000,31.360000,147.120000,nan,5000.000000,5000.000000
1,165.965000,-46.425200,21963.444500,0.150980,23.500000,33.170000,151.100000,nan,5000.000000,5000.000000
1,166.014000,-46.440100,24828.085600,0.103780,23.500000,34.950000,157.620000,nan,5000.000000,5000.000000
1,166.062000,-46.454600,27822.026000,0.054160,23.500000,36.770000,175.010000,nan,5000.000000,5000.000000
1,166.109000,-46.468800,30947.840600,0.031270,23.500000,38.670000,244.800000,nan,5000.000000,5000.000000
1,166.155000,-46.482600,34206.857600,0.060380,23.500000,40.650000,288.910000,nan,5000.000000,5000.000000
1,166.199000,-46.496000,37600.637200,0.088990,23.500000,42.720000,296.970000,nan,5000.000000,5000.000000
1,166.242000,-46.508900,41129.865900,0.102870,23.500000,44.850000,297.320000,nan,5000.000000,5000.000000
1,166.283000,-46.521400,44791.157800,0.097050,23.500000,47.030000,294.330000,nan,5000.000000,5000.000000
1,166.323000,-46.533400,48578.584800,0.067140,23.500000,49.200000,285.760000,nan,5000.000000,5000.000000
1,166.361000,-46.544900,52485.718600,0.026220,23.500000,51.340000,214.920000,nan,5000.000000,5000.000000
1,165.617000,-46.271000,6350.775700,0.109590,23.500000,13.370000,144.640000,nan,5000.000000,5000.000000
1,165.674000,-46.288200,7906.544700,0.229980,23.500000,18.130000,139.090000,nan,5000.000000,5000.000000
1,165.730000,-46.305000,9769.246700,0.348190,23.500000,21.870000,139.020000,nan,5000.000000,5000.000000
1,165.784000,-46.321500,11871.709100,0.443570,23.500000,24.860000,140.490000,nan,5000.000000,5000.000000
