segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupturetime (s),length (m),width (m)
1,165.891260,-45.968403,8759.080000,0.000000,27.000000,33.000000,145.494000,34.978000,2000.000000,2000.000000
1,165.904931,-45.953214,8759.080000,0.000000,27.000000,33.000000,145.494000,34.266000,2000.000000,2000.000000
1,165.918595,-45.938022,8759.080000,0.000000,27.000000,33.000000,145.494000,33.574000,2000.000000,2000.000000
1,165.932251,-45.922829,8759.080000,0.000000,27.000000,33.000000,145.494000,32.904000,2000.000000,2000.000000
1,165.945900,-45.907633,8759.080000,0.110000,27.000000,33.000000,145.494000,32.257000,2000.000000,2000.000000
1,165.959540,-45.892436,8759.080000,0.170000,27.000000,33.000000,145.494000,31.634000,2000.000000,2000.000000
1,165.973173,-45.877236,8759.080000,0.260000,27.000000,33.000000,145.494000,31.037000,2000.000000,2000.000000
1,165.986798,-45.862034,8759.080000,0.380000,27.000000,33.000000,145.494000,30.466000,2000.000000,2000.000000
1,166.000415,-45.846830,8759.080000,0.540000,27.000000,33.000000,145.494000,29.925000,2000.000000,2000.000000
1,166.014025,-45.831625,8759.080000,0.720000,27.000000,33.000000,145.494000,29.414000,2000.000000,2000.000000
1,166.027626,-45.816416,8759.080000,0.930000,27.000000,33.000000,145.494000,28.935000,2000.000000,2000.000000
1,166.041220,-45.801206,8759.080000,1.150000,27.000000,33.000000,145.494000,28.489000,2000.000000,2000.000000
1,166.054806,-45.785994,8759.080000,1.370000,27.000000,33.000000,145.494000,28.079000,2000.000000,2000.000000
1,166.068385,-45.770780,8759.080000,1.560000,27.000000,33.000000,145.494000,27.705000,2000.000000,2000.000000
1,166.081955,-45.755564,8759.080000,1.700000,27.000000,33.000000,145.494000,27.370000,2000.000000,2000.000000
1,166.095518,-45.740346,8759.080000,1.780000,27.000000,33.000000,145.494000,27.074000,2000.000000,2000.000000
1,166.109073,-45.725125,8759.080000,1.790000,27.000000,33.000000,145.494000,26.820000,2000.000000,2000.000000
1,166.122621,-45.709903,8759.080000,1.730000,27.000000,33.000000,145.494000,26.607000,2000.000000,2000.000000
1,166.136161,-45.694678,8759.080000,1.600000,27.000000,33.000000,145.494000,26.438000,2000.000000,2000.000000
1,166.149693,-45.679452,8759.080000,1.430000,27.000000,33.000000,145.494000,26.312000,2000.000000,2000.000000
1,166.163217,-45.664223,8759.080000,1.220000,27.000000,33.000000,145.494000,26.232000,2000.000000,2000.000000
1,166.176734,-45.648993,8759.080000,0.990000,27.000000,33.000000,145.494000,26.196000,2000.000000,2000.000000
1,166.190243,-45.633760,8759.080000,0.780000,27.000000,33.000000,145.494000,26.206000,2000.000000,2000.000000
1,166.203745,-45.618525,8759.080000,0.590000,27.000000,33.000000,145.494000,26.260000,2000.000000,2000.000000
1,166.217238,-45.603289,8759.080000,0.420000,27.000000,33.000000,145.494000,26.360000,2000.000000,2000.000000
1,166.230724,-45.588050,8759.080000,0.290000,27.000000,33.000000,145.494000,26.504000,2000.000000,2000.000000
1,166.244203,-45.572809,8759.080000,0.200000,27.000000,33.000000,145.494000,26.692000,2000.000000,2000.000000
1,166.257674,-45.557566,8759.080000,0.120000,27.000000,33.000000,145.494000,26.922000,2000.000000,2000.000000
1,166.271137,-45.542322,8759.080000,0.000000,27.000000,33.000000,145.494000,27.194000,2000.000000,2000.000000
1,166.284593,-45.527075,8759.080000,0.000000,27.000000,33.000000,145.494000,27.507000,2000.000000,2000.000000
1,165.909529,-45.976399,9848.350000,0.000000,27.000000,33.000000,145.494000,34.170000,2000.000000,2000.000000
1,165.923199,-45.961208,9848.350000,0.000000,27.000000,33.000000,145.494000,33.441000,2000.000000,2000.000000
1,165.936860,-45.946014,9848.350000,0.000000,27.000000,33.000000,145.494000,32.732000,2000.000000,2000.000000
1,165.950514,-45.930818,9848.350000,0.100000,27.000000,33.000000,145.494000,32.044000,2000.000000,2000.000000
1,165.964160,-45.915620,9848.350000,0.160000,27.000000,33.000000,145.494000,31.379000,2000.000000,2000.000000
1,165.977798,-45.900420,9848.350000,0.250000,27.000000,33.000000,145.494000,30.738000,2000.000000,2000.000000
1,165.991428,-45.885218,9848.350000,0.380000,27.000000,33.000000,145.494000,30.123000,2000.000000,2000.000000
1,166.005050,-45.870014,9848.350000,0.550000,27.000000,33.000000,145.494000,29.535000,2000.000000,2000.000000
1,166.018665,-45.854808,9848.350000,0.760000,27.000000,33.000000,145.494000,28.977000,2000.000000,2000.000000
1,166.032272,-45.839600,9848.350000,1.010000,27.000000,33.000000,145.494000,28.449000,2000.000000,2000.000000
1,166.045871,-45.824389,9848.350000,1.290000,27.000000,33.000000,145.494000,27.953000,2000.000000,2000.000000
1,166.059462,-45.809177,9848.350000,1.580000,27.000000,33.000000,145.494000,27.492000,2000.000000,2000.000000
1,166.073046,-45.793962,9848.350000,1.860000,27.000000,33.000000,145.494000,27.066000,2000.000000,2000.000000
1,166.086622,-45.778746,9848.350000,2.090000,27.000000,33.000000,145.494000,26.678000,2000.000000,2000.000000
1,166.100190,-45.763527,9848.350000,2.260000,27.000000,33.000000,145.494000,26.330000,2000.000000,2000.000000
1,166.113750,-45.748307,9848.350000,2.350000,27.000000,33.000000,145.494000,26.022000,2000.000000,2000.000000
1,166.127303,-45.733084,9848.350000,2.330000,27.000000,33.000000,145.494000,25.757000,2000.000000,2000.000000
1,166.140848,-45.717859,9848.350000,2.230000,27.000000,33.000000,145.494000,25.536000,2000.000000,2000.000000
1,166.154385,-45.702632,9848.350000,2.040000,27.000000,33.000000,145.494000,25.359000,2000.000000,2000.000000
1,166.167914,-45.687404,9848.350000,1.790000,27.000000,33.000000,145.494000,25.229000,2000.000000,2000.000000
1,166.181436,-45.672173,9848.350000,1.510000,27.000000,33.000000,145.494000,25.145000,2000.000000,2000.000000
1,166.194951,-45.656940,9848.350000,1.220000,27.000000,33.000000,145.494000,25.107000,2000.000000,2000.000000
1,166.208457,-45.641705,9848.350000,0.950000,27.000000,33.000000,145.494000,25.117000,2000.000000,2000.000000
1,166.221956,-45.626468,9848.350000,0.710000,27.000000,33.000000,145.494000,25.174000,2000.000000,2000.000000
1,166.235447,-45.611229,9848.350000,0.500000,27.000000,33.000000,145.494000,25.278000,2000.000000,2000.000000
1,166.248931,-45.595988,9848.350000,0.350000,27.000000,33.000000,145.494000,25.428000,2000.000000,2000.000000
1,166.262407,-45.580745,9848.350000,0.230000,27.000000,33.000000,145.494000,25.624000,2000.000000,2000.000000
1,166.275875,-45.565499,9848.350000,0.140000,27.000000,33.000000,145.494000,25.864000,2000.000000,2000.000000
1,166.289336,-45.550252,9848.350000,0.090000,27.000000,33.000000,145.494000,26.147000,2000.000000,2000.000000
1,166.302789,-45.535003,9848.350000,0.000000,27.000000,33.000000,145.494000,26.472000,2000.000000,2000.000000
1,165.927805,-45.984393,10937.630000,0.000000,27.000000,33.000000,145.494000,33.378000,2000.000000,2000.000000
1,165.941471,-45.969199,10937.630000,0.000000,27.000000,33.000000,145.494000,32.632000,2000.000000,2000.000000
1,165.955130,-45.954003,10937.630000,0.090000,27.000000,33.000000,145.494000,31.905000,2000.000000,2000.000000
1,165.968781,-45.938805,10937.630000,0.140000,27.000000,33.000000,145.494000,31.199000,2000.000000,2000.000000
1,165.982425,-45.923605,10937.630000,0.230000,27.000000,33.000000,145.494000,30.515000,2000.000000,2000.000000
1,165.996060,-45.908402,10937.630000,0.360000,27.000000,33.000000,145.494000,29.856000,2000.000000,2000.000000
1,166.009688,-45.893198,10937.630000,0.540000,27.000000,33.000000,145.494000,29.222000,2000.000000,2000.000000
1,166.023308,-45.877991,10937.630000,0.770000,27.000000,33.000000,145.494000,28.616000,2000.000000,2000.000000
1,166.036920,-45.862783,10937.630000,1.050000,27.000000,33.000000,145.494000,28.039000,2000.000000,2000.000000
1,166.050524,-45.847572,10937.630000,1.380000,27.000000,33.000000,145.494000,27.492000,2000.000000,2000.000000
1,166.064121,-45.832360,10937.630000,1.750000,27.000000,33.000000,145.494000,26.979000,2000.000000,2000.000000
1,166.077709,-45.817145,10937.630000,2.110000,27.000000,33.000000,145.494000,26.501000,2000.000000,2000.000000
1,166.091290,-45.801928,10937.630000,2.450000,27.000000,33.000000,145.494000,26.059000,2000.000000,2000.000000
1,166.104864,-45.786709,10937.630000,2.730000,27.000000,33.000000,145.494000,25.656000,2000.000000,2000.000000
1,166.118429,-45.771488,10937.630000,2.920000,27.000000,33.000000,145.494000,25.294000,2000.000000,2000.000000
1,166.131987,-45.756265,10937.630000,3.000000,27.000000,33.000000,145.494000,24.974000,2000.000000,2000.000000
1,166.145537,-45.741040,10937.630000,2.950000,27.000000,33.000000,145.494000,24.697000,2000.000000,2000.000000
1,166.159080,-45.725813,10937.630000,2.780000,27.000000,33.000000,145.494000,24.466000,2000.000000,2000.000000
1,166.172614,-45.710584,10937.630000,2.520000,27.000000,33.000000,145.494000,24.282000,2000.000000,2000.000000
1,166.186141,-45.695353,10937.630000,2.190000,27.000000,33.000000,145.494000,24.145000,2000.000000,2000.000000
1,166.199661,-45.680119,10937.630000,1.830000,27.000000,33.000000,145.494000,24.057000,2000.000000,2000.000000
1,166.213172,-45.664884,10937.630000,1.460000,27.000000,33.000000,145.494000,24.019000,2000.000000,2000.000000
1,166.226676,-45.649647,10937.630000,1.120000,27.000000,33.000000,145.494000,24.029000,2000.000000,2000.000000
1,166.240173,-45.634408,10937.630000,0.830000,27.000000,33.000000,145.494000,24.089000,2000.000000,2000.000000
1,166.253661,-45.619166,10937.630000,0.580000,27.000000,33.000000,145.494000,24.197000,2000.000000,2000.000000
1,166.267142,-45.603923,10937.630000,0.400000,27.000000,33.000000,145.494000,24.354000,2000.000000,2000.000000
1,166.280616,-45.588677,10937.630000,0.260000,27.000000,33.000000,145.494000,24.558000,2000.000000,2000.000000
1,166.294082,-45.573430,10937.630000,0.160000,27.000000,33.000000,145.494000,24.809000,2000.000000,2000.000000
1,166.307540,-45.558180,10937.630000,0.100000,27.000000,33.000000,145.494000,25.104000,2000.000000,2000.000000
1,166.320990,-45.542929,10937.630000,0.000000,27.000000,33.000000,145.494000,25.442000,2000.000000,2000.000000
1,165.946086,-45.992384,12026.910000,0.000000,27.000000,33.000000,145.494000,32.604000,2000.000000,2000.000000
1,165.959750,-45.977188,12026.910000,0.000000,27.000000,33.000000,145.494000,31.839000,2000.000000,2000.000000
1,165.973406,-45.961990,12026.910000,0.120000,27.000000,33.000000,145.494000,31.093000,2000.000000,2000.000000
1,165.987055,-45.946789,12026.910000,0.200000,27.000000,33.000000,145.494000,30.368000,2000.000000,2000.000000
1,166.000695,-45.931586,12026.910000,0.330000,27.000000,33.000000,145.494000,29.666000,2000.000000,2000.000000
1,166.014328,-45.916382,12026.910000,0.500000,27.000000,33.000000,145.494000,28.987000,2000.000000,2000.000000
1,166.027953,-45.901175,12026.910000,0.740000,27.000000,33.000000,145.494000,28.334000,2000.000000,2000.000000
1,166.041571,-45.885966,12026.910000,1.040000,27.000000,33.000000,145.494000,27.708000,2000.000000,2000.000000
1,166.055180,-45.870755,12026.910000,1.410000,27.000000,33.000000,145.494000,27.112000,2000.000000,2000.000000
1,166.068782,-45.855542,12026.910000,1.840000,27.000000,33.000000,145.494000,26.547000,2000.000000,2000.000000
1,166.082376,-45.840327,12026.910000,2.290000,27.000000,33.000000,145.494000,26.015000,2000.000000,2000.000000
1,166.095962,-45.825110,12026.910000,2.740000,27.000000,33.000000,145.494000,25.518000,2000.000000,2000.000000
1,166.109541,-45.809891,12026.910000,3.150000,27.000000,33.000000,145.494000,25.059000,2000.000000,2000.000000
1,166.123111,-45.794670,12026.910000,3.470000,27.000000,33.000000,145.494000,24.640000,2000.000000,2000.000000
1,166.136674,-45.779446,12026.910000,3.660000,27.000000,33.000000,145.494000,24.262000,2000.000000,2000.000000
1,166.150230,-45.764221,12026.910000,3.710000,27.000000,33.000000,145.494000,23.928000,2000.000000,2000.000000
1,166.163777,-45.748993,12026.910000,3.610000,27.000000,33.000000,145.494000,23.640000,2000.000000,2000.000000
1,166.177317,-45.733764,12026.910000,3.370000,27.000000,33.000000,145.494000,23.398000,2000.000000,2000.000000
1,166.190849,-45.718533,12026.910000,3.020000,27.000000,33.000000,145.494000,23.206000,2000.000000,2000.000000
1,166.204374,-45.703299,12026.910000,2.600000,27.000000,33.000000,145.494000,23.063000,2000.000000,2000.000000
1,166.217891,-45.688063,12026.910000,2.140000,27.000000,33.000000,145.494000,22.971000,2000.000000,2000.000000
1,166.231400,-45.672826,12026.910000,1.690000,27.000000,33.000000,145.494000,22.930000,2000.000000,2000.000000
1,166.244901,-45.657586,12026.910000,1.290000,27.000000,33.000000,145.494000,22.941000,2000.000000,2000.000000
1,166.258395,-45.642345,12026.910000,0.940000,27.000000,33.000000,145.494000,23.003000,2000.000000,2000.000000
1,166.271881,-45.627101,12026.910000,0.650000,27.000000,33.000000,145.494000,23.117000,2000.000000,2000.000000
1,166.285359,-45.611855,12026.910000,0.440000,27.000000,33.000000,145.494000,23.281000,2000.000000,2000.000000
1,166.298830,-45.596607,12026.910000,0.280000,27.000000,33.000000,145.494000,23.495000,2000.000000,2000.000000
1,166.312293,-45.581358,12026.910000,0.170000,27.000000,33.000000,145.494000,23.756000,2000.000000,2000.000000
1,166.325749,-45.566106,12026.910000,0.100000,27.000000,33.000000,145.494000,24.064000,2000.000000,2000.000000
1,166.339197,-45.550852,12026.910000,0.000000,27.000000,33.000000,145.494000,24.417000,2000.000000,2000.000000
1,165.964372,-46.000373,13116.190000,0.000000,27.000000,33.000000,145.494000,31.847000,2000.000000,2000.000000
1,165.978033,-45.985174,13116.190000,0.100000,27.000000,33.000000,145.494000,31.064000,2000.000000,2000.000000
