segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupturetime (s),length (m),width (m)
1,172.076279,-43.597473,492.504000,1.562590,86.100000,80.000000,152.447000,nan,1000.000000,1000.000000
1,172.076416,-43.599030,1477.310000,1.338190,86.100000,80.000000,171.446000,nan,1000.000000,1000.000000
1,172.076569,-43.600590,2462.120000,1.308090,86.100000,80.000000,-165.820000,nan,1000.000000,1000.000000
1,172.076721,-43.602146,3446.930000,1.416430,86.100000,80.000000,-149.381000,nan,1000.000000,1000.000000
1,172.076859,-43.603706,4431.740000,1.429510,86.100000,80.000000,-140.888000,nan,1000.000000,1000.000000
1,172.077011,-43.605263,5416.540000,1.258260,86.100000,80.000000,-138.784000,nan,1000.000000,1000.000000
1,172.077148,-43.606819,6401.350000,0.952087,86.100000,80.000000,-143.715000,nan,1000.000000,1000.000000
1,172.077301,-43.608379,7386.160000,0.648325,86.100000,80.000000,-159.422000,nan,1000.000000,1000.000000
1,172.077454,-43.609936,8370.970000,0.500185,86.100000,80.000000,175.944000,nan,1000.000000,1000.000000
1,172.077591,-43.611496,9355.770000,0.519345,86.100000,80.000000,167.220000,nan,1000.000000,1000.000000
1,172.077744,-43.613052,10340.600000,0.793338,86.100000,80.000000,179.521000,nan,1000.000000,1000.000000
1,172.088577,-43.596859,492.504000,1.733400,86.100000,80.000000,-179.077000,nan,1000.000000,1000.000000
1,172.088531,-43.598415,1477.310000,2.284540,86.100000,80.000000,178.678000,nan,1000.000000,1000.000000
1,172.088501,-43.599972,2462.120000,2.619360,86.100000,80.000000,-169.301000,nan,1000.000000,1000.000000
1,172.088455,-43.601528,3446.930000,2.824650,86.100000,80.000000,-155.547000,nan,1000.000000,1000.000000
1,172.088409,-43.603081,4431.740000,2.779060,86.100000,80.000000,-146.502000,nan,1000.000000,1000.000000
1,172.088379,-43.604637,5416.540000,2.391400,86.100000,80.000000,-143.472000,nan,1000.000000,1000.000000
1,172.088348,-43.606194,6401.350000,1.764360,86.100000,80.000000,-147.925000,nan,1000.000000,1000.000000
1,172.088303,-43.607750,7386.160000,1.162150,86.100000,80.000000,-164.093000,nan,1000.000000,1000.000000
1,172.088257,-43.609306,8370.970000,0.854805,86.100000,80.000000,170.094000,nan,1000.000000,1000.000000
1,172.088226,-43.610863,9355.770000,0.756975,86.100000,80.000000,162.275000,nan,1000.000000,1000.000000
1,172.088196,-43.612415,10340.600000,0.858883,86.100000,80.000000,-170.483000,nan,1000.000000,1000.000000
1,172.100937,-43.597019,492.504000,1.596160,95.950000,80.000000,-153.191000,nan,1000.000000,1000.000000
1,172.100906,-43.598576,1477.310000,2.902290,95.950000,80.000000,-177.421000,nan,1000.000000,1000.000000
1,172.100861,-43.600132,2462.120000,3.720830,95.950000,80.000000,-171.028000,nan,1000.000000,1000.000000
1,172.100830,-43.601688,3446.930000,3.996160,95.950000,80.000000,-159.404000,nan,1000.000000,1000.000000
1,172.100784,-43.603241,4431.740000,3.812300,95.950000,80.000000,-150.661000,nan,1000.000000,1000.000000
1,172.100754,-43.604797,5416.540000,3.168370,95.950000,80.000000,-147.461000,nan,1000.000000,1000.000000
1,172.100708,-43.606354,6401.350000,2.240730,95.950000,80.000000,-152.318000,nan,1000.000000,1000.000000
1,172.100677,-43.607910,7386.160000,1.412100,95.950000,80.000000,-171.211000,nan,1000.000000,1000.000000
1,172.100632,-43.609467,8370.970000,1.060350,95.950000,80.000000,158.416000,nan,1000.000000,1000.000000
1,172.100586,-43.611023,9355.770000,0.975476,95.950000,80.000000,148.612000,nan,1000.000000,1000.000000
1,172.100555,-43.612576,10340.600000,1.097640,95.950000,80.000000,172.051000,nan,1000.000000,1000.000000
1,172.113403,-43.597183,492.504000,2.085490,86.100000,80.000000,-174.166000,nan,1000.000000,1000.000000
1,172.113556,-43.598740,1477.310000,3.589930,86.100000,80.000000,-179.665000,nan,1000.000000,1000.000000
1,172.113708,-43.600300,2462.120000,4.502470,86.100000,80.000000,-171.492000,nan,1000.000000,1000.000000
1,172.113846,-43.601856,3446.930000,4.756840,86.100000,80.000000,-160.517000,nan,1000.000000,1000.000000
1,172.113983,-43.603413,4431.740000,4.416070,86.100000,80.000000,-152.290000,nan,1000.000000,1000.000000
1,172.114136,-43.604973,5416.540000,3.532600,86.100000,80.000000,-149.392000,nan,1000.000000,1000.000000
1,172.114288,-43.606529,6401.350000,2.359710,86.100000,80.000000,-155.263000,nan,1000.000000,1000.000000
1,172.114441,-43.608089,7386.160000,1.397570,86.100000,80.000000,-178.818000,nan,1000.000000,1000.000000
1,172.114578,-43.609646,8370.970000,1.102110,86.100000,80.000000,145.447000,nan,1000.000000,1000.000000
1,172.114716,-43.611202,9355.770000,1.000020,86.100000,80.000000,138.624000,nan,1000.000000,1000.000000
1,172.114868,-43.612762,10340.600000,1.045630,86.100000,80.000000,176.064000,nan,1000.000000,1000.000000
1,172.125793,-43.596569,492.504000,2.158610,86.100000,80.000000,-162.136000,nan,1000.000000,1000.000000
1,172.125946,-43.598129,1477.310000,3.829680,86.100000,80.000000,-175.697000,nan,1000.000000,1000.000000
1,172.126083,-43.599686,2462.120000,4.850890,86.100000,80.000000,-170.732000,nan,1000.000000,1000.000000
1,172.126236,-43.601246,3446.930000,5.069750,86.100000,80.000000,-161.276000,nan,1000.000000,1000.000000
1,172.126373,-43.602802,4431.740000,4.594030,86.100000,80.000000,-153.846000,nan,1000.000000,1000.000000
1,172.126526,-43.604359,5416.540000,3.535150,86.100000,80.000000,-151.777000,nan,1000.000000,1000.000000
1,172.126678,-43.605919,6401.350000,2.222530,86.100000,80.000000,-160.141000,nan,1000.000000,1000.000000
1,172.126831,-43.607475,7386.160000,1.297230,86.100000,80.000000,168.073000,nan,1000.000000,1000.000000
1,172.126968,-43.609035,8370.970000,1.198600,86.100000,80.000000,130.718000,nan,1000.000000,1000.000000
1,172.127106,-43.610592,9355.770000,1.108700,86.100000,80.000000,129.647000,nan,1000.000000,1000.000000
1,172.127258,-43.612152,10340.600000,1.124420,86.100000,80.000000,173.271000,nan,1000.000000,1000.000000
1,172.138184,-43.595959,492.504000,2.271090,86.100000,80.000000,-160.971000,nan,1000.000000,1000.000000
1,172.138336,-43.597515,1477.310000,4.040080,86.100000,80.000000,-177.762000,nan,1000.000000,1000.000000
1,172.138474,-43.599075,2462.120000,5.010750,86.100000,80.000000,-174.317000,nan,1000.000000,1000.000000
1,172.138626,-43.600632,3446.930000,5.084600,86.100000,80.000000,-165.277000,nan,1000.000000,1000.000000
1,172.138763,-43.602192,4431.740000,4.464520,86.100000,80.000000,-158.066000,nan,1000.000000,1000.000000
1,172.138916,-43.603748,5416.540000,3.301180,86.100000,80.000000,-157.122000,nan,1000.000000,1000.000000
1,172.139069,-43.605309,6401.350000,1.985630,86.100000,80.000000,-169.999000,nan,1000.000000,1000.000000
1,172.139206,-43.606865,7386.160000,1.301120,86.100000,80.000000,149.899000,nan,1000.000000,1000.000000
1,172.139359,-43.608421,8370.970000,1.400600,86.100000,80.000000,120.461000,nan,1000.000000,1000.000000
1,172.139496,-43.609982,9355.770000,1.359100,86.100000,80.000000,127.889000,nan,1000.000000,1000.000000
1,172.139648,-43.611538,10340.600000,1.733210,86.100000,80.000000,163.697000,nan,1000.000000,1000.000000
1,172.150574,-43.595348,492.504000,3.412570,86.100000,80.000000,175.249000,nan,1000.000000,1000.000000
1,172.150726,-43.596905,1477.310000,4.833840,86.100000,80.000000,171.858000,nan,1000.000000,1000.000000
1,172.150864,-43.598465,2462.120000,5.364340,86.100000,80.000000,176.848000,nan,1000.000000,1000.000000
1,172.151016,-43.600021,3446.930000,5.086620,86.100000,80.000000,-173.810000,nan,1000.000000,1000.000000
1,172.151154,-43.601578,4431.740000,4.254090,86.100000,80.000000,-166.600000,nan,1000.000000,1000.000000
1,172.151306,-43.603138,5416.540000,3.030240,86.100000,80.000000,-167.383000,nan,1000.000000,1000.000000
1,172.151459,-43.604694,6401.350000,1.849710,86.100000,80.000000,173.834000,nan,1000.000000,1000.000000
1,172.151596,-43.606255,7386.160000,1.468410,86.100000,80.000000,133.901000,nan,1000.000000,1000.000000
1,172.151749,-43.607811,8370.970000,1.521530,86.100000,80.000000,114.956000,nan,1000.000000,1000.000000
1,172.151886,-43.609367,9355.770000,1.213940,86.100000,80.000000,132.194000,nan,1000.000000,1000.000000
1,172.152039,-43.610928,10340.600000,1.662410,86.100000,80.000000,-174.343000,nan,1000.000000,1000.000000
1,172.162872,-43.594734,492.504000,3.430810,86.100000,80.000000,-163.989000,nan,1000.000000,1000.000000
1,172.162827,-43.596291,1477.310000,5.008500,86.100000,80.000000,171.863000,nan,1000.000000,1000.000000
1,172.162796,-43.597847,2462.120000,5.653320,86.100000,80.000000,169.655000,nan,1000.000000,1000.000000
1,172.162750,-43.599403,3446.930000,5.183680,86.100000,80.000000,176.215000,nan,1000.000000,1000.000000
1,172.162720,-43.600956,4431.740000,4.158680,86.100000,80.000000,-178.074000,nan,1000.000000,1000.000000
1,172.162674,-43.602512,5416.540000,2.921970,86.100000,80.000000,178.480000,nan,1000.000000,1000.000000
1,172.162643,-43.604069,6401.350000,1.964550,86.100000,80.000000,156.088000,nan,1000.000000,1000.000000
1,172.162598,-43.605621,7386.160000,1.763180,86.100000,80.000000,124.405000,nan,1000.000000,1000.000000
1,172.162567,-43.607178,8370.970000,1.626580,86.100000,80.000000,113.123000,nan,1000.000000,1000.000000
1,172.162521,-43.608734,9355.770000,1.040390,86.100000,80.000000,139.154000,nan,1000.000000,1000.000000
1,172.162491,-43.610291,10340.600000,1.641500,86.100000,80.000000,-156.461000,nan,1000.000000,1000.000000
1,172.175140,-43.594894,492.504000,3.231190,95.950000,80.000000,-155.184000,nan,1000.000000,1000.000000
1,172.174927,-43.596447,1477.310000,5.066710,95.950000,80.000000,165.761000,nan,1000.000000,1000.000000
1,172.174698,-43.598000,2462.120000,5.993720,95.950000,80.000000,161.160000,nan,1000.000000,1000.000000
1,172.174469,-43.599552,3446.930000,5.411650,95.950000,80.000000,166.350000,nan,1000.000000,1000.000000
1,172.174255,-43.601105,4431.740000,4.238560,95.950000,80.000000,170.731000,nan,1000.000000,1000.000000
1,172.174026,-43.602661,5416.540000,3.024250,95.950000,80.000000,165.459000,nan,1000.000000,1000.000000
1,172.173813,-43.604210,6401.350000,2.252900,95.950000,80.000000,144.237000,nan,1000.000000,1000.000000
1,172.173584,-43.605766,7386.160000,2.072080,95.950000,80.000000,121.375000,nan,1000.000000,1000.000000
1,172.173355,-43.607319,8370.970000,1.729040,95.950000,80.000000,116.506000,nan,1000.000000,1000.000000
1,172.173141,-43.608871,9355.770000,1.060080,95.950000,80.000000,154.986000,nan,1000.000000,1000.000000
1,172.172913,-43.610428,10340.600000,2.043890,95.950000,80.000000,-148.713000,nan,1000.000000,1000.000000
1,172.187546,-43.595829,492.504000,3.736020,95.950000,80.000000,-155.061000,nan,1000.000000,1000.000000
1,172.187408,-43.597385,1477.310000,5.627610,95.950000,80.000000,161.009000,nan,1000.000000,1000.000000
1,172.187286,-43.598942,2462.120000,6.458440,95.950000,80.000000,155.938000,nan,1000.000000,1000.000000
1,172.187149,-43.600502,3446.930000,5.653900,95.950000,80.000000,160.708000,nan,1000.000000,1000.000000
1,172.187012,-43.602058,4431.740000,4.344030,95.950000,80.000000,164.736000,nan,1000.000000,1000.000000
1,172.186890,-43.603615,5416.540000,3.138180,95.950000,80.000000,159.378000,nan,1000.000000,1000.000000
1,172.186768,-43.605171,6401.350000,2.440120,95.950000,80.000000,140.701000,nan,1000.000000,1000.000000
1,172.186630,-43.606728,7386.160000,2.210980,95.950000,80.000000,123.186000,nan,1000.000000,1000.000000
1,172.186493,-43.608284,8370.970000,1.730980,95.950000,80.000000,124.272000,nan,1000.000000,1000.000000
1,172.186371,-43.609844,9355.770000,1.226060,95.950000,80.000000,176.357000,nan,1000.000000,1000.000000
1,172.186234,-43.611401,10340.600000,2.669020,95.950000,80.000000,-139.723000,nan,1000.000000,1000.000000
1,172.200073,-43.596371,492.504000,4.415670,91.020000,80.000000,-145.481000,nan,1000.000000,1000.000000
1,172.200211,-43.597923,1477.310000,5.973600,91.020000,80.000000,165.578000,nan,1000.000000,1000.000000
1,172.200363,-43.599476,2462.120000,6.740060,91.020000,80.000000,157.074000,nan,1000.000000,1000.000000
1,172.200500,-43.601028,3446.930000,5.803790,91.020000,80.000000,160.514000,nan,1000.000000,1000.000000
1,172.200653,-43.602581,4431.740000,4.404150,91.020000,80.000000,164.305000,nan,1000.000000,1000.000000
1,172.200806,-43.604134,5416.540000,3.183670,91.020000,80.000000,159.585000,nan,1000.000000,1000.000000
1,172.200943,-43.605686,6401.350000,2.485460,91.020000,80.000000,142.829000,nan,1000.000000,1000.000000
1,172.201080,-43.607239,7386.160000,2.218930,91.020000,80.000000,128.060000,nan,1000.000000,1000.000000
1,172.201233,-43.608788,8370.970000,1.740790,91.020000,80.000000,134.162000,nan,1000.000000,1000.000000
1,172.201385,-43.610340,9355.770000,1.599520,91.020000,80.000000,-172.165000,nan,1000.000000,1000.000000
1,172.201523,-43.611893,10340.600000,3.426690,91.020000,80.000000,-139.910000,nan,1000.000000,1000.000000
1,172.212555,-43.595749,492.504000,5.631200,81.180000,80.000000,-144.536000,nan,1000.000000,1000.000000
1,172.212967,-43.597282,1477.310000,6.714320,81.180000,80.000000,174.047000,nan,1000.000000,1000.000000
1,172.213394,-43.598808,2462.120000,7.156090,81.180000,80.000000,162.541000,nan,1000.000000,1000.000000
1,172.213806,-43.600342,3446.930000,6.071590,81.180000,80.000000,163.915000,nan,1000.000000,1000.000000
1,172.214233,-43.601871,4431.740000,4.575140,81.180000,80.000000,166.963000,nan,1000.000000,1000.000000
1,172.214661,-43.603401,5416.540000,3.298160,81.180000,80.000000,162.838000,nan,1000.000000,1000.000000
1,172.215073,-43.604931,6401.350000,2.545760,81.180000,80.000000,147.546000,nan,1000.000000,1000.000000
1,172.215500,-43.606461,7386.160000,2.247910,81.180000,80.000000,133.527000,nan,1000.000000,1000.000000
1,172.215927,-43.607990,8370.970000,1.844210,81.180000,80.000000,139.790000,nan,1000.000000,1000.000000
1,172.216339,-43.609520,9355.770000,1.841130,81.180000,80.000000,-174.560000,nan,1000.000000,1000.000000
1,172.216766,-43.611050,10340.600000,3.694150,81.180000,80.000000,-145.736000,nan,1000.000000,1000.000000
1,172.224716,-43.593994,492.504000,6.347860,76.250000,80.000000,-148.804000,nan,1000.000000,1000.000000
1,172.225128,-43.595520,1477.310000,7.428360,76.250000,80.000000,-179.901000,nan,1000.000000,1000.000000
1,172.225555,-43.597054,2462.120000,7.583970,76.250000,80.000000,168.019000,nan,1000.000000,1000.000000
1,172.225983,-43.598583,3446.930000,6.421400,76.250000,80.000000,167.709000,nan,1000.000000,1000.000000
1,172.226410,-43.600113,4431.740000,4.873360,76.250000,80.000000,169.715000,nan,1000.000000,1000.000000
1,172.226822,-43.601643,5416.540000,3.546190,76.250000,80.000000,165.817000,nan,1000.000000,1000.000000
1,172.227234,-43.603172,6401.350000,2.728290,76.250000,80.000000,151.823000,nan,1000.000000,1000.000000
1,172.227661,-43.604702,7386.160000,2.385790,76.250000,80.000000,137.407000,nan,1000.000000,1000.000000
1,172.228088,-43.606232,8370.970000,2.017540,76.250000,80.000000,138.639000,nan,1000.000000,1000.000000
1,172.228516,-43.607765,9355.770000,1.776500,76.250000,80.000000,171.158000,nan,1000.000000,1000.000000
1,172.228928,-43.609291,10340.600000,2.922910,76.250000,80.000000,-157.131000,nan,1000.000000,1000.000000
