segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupturetime (s),length (m),width (m)
1,172.587666,-43.587225,539.747559,0.000000,59.000000,67.000000,135.787000,5.194000,1000.000000,1000.000000
1,172.598315,-43.582626,539.747559,0.000000,59.000000,67.000000,135.787000,4.931000,1000.000000,1000.000000
1,172.608962,-43.578025,539.747559,0.000000,59.000000,67.000000,135.787000,4.681000,1000.000000,1000.000000
1,172.619607,-43.573423,539.747559,0.000000,59.000000,67.000000,135.787000,4.445000,1000.000000,1000.000000
1,172.630251,-43.568821,539.747559,0.000000,59.000000,67.000000,135.787000,4.226000,1000.000000,1000.000000
1,172.640893,-43.564217,539.747559,0.000000,59.000000,67.000000,135.787000,4.027000,1000.000000,1000.000000
1,172.651533,-43.559613,539.747559,0.000000,59.000000,67.000000,135.787000,3.850000,1000.000000,1000.000000
1,172.662172,-43.555007,539.747559,0.050000,59.000000,67.000000,135.787000,3.700000,1000.000000,1000.000000
1,172.672809,-43.550401,539.747559,0.160000,59.000000,67.000000,135.787000,3.579000,1000.000000,1000.000000
1,172.683445,-43.545793,539.747559,0.430000,59.000000,67.000000,135.787000,3.491000,1000.000000,1000.000000
1,172.694079,-43.541184,539.747559,0.870000,59.000000,67.000000,135.787000,3.437000,1000.000000,1000.000000
1,172.704711,-43.536575,539.747559,1.390000,59.000000,67.000000,135.787000,3.420000,1000.000000,1000.000000
1,172.715342,-43.531964,539.747559,1.710000,59.000000,67.000000,135.787000,3.440000,1000.000000,1000.000000
1,172.725971,-43.527353,539.747559,1.640000,59.000000,67.000000,135.787000,3.496000,1000.000000,1000.000000
1,172.736599,-43.522740,539.747559,1.220000,59.000000,67.000000,135.787000,3.587000,1000.000000,1000.000000
1,172.747225,-43.518127,539.747559,0.710000,59.000000,67.000000,135.787000,3.710000,1000.000000,1000.000000
1,172.757849,-43.513512,539.747559,0.320000,59.000000,67.000000,135.787000,3.863000,1000.000000,1000.000000
1,172.768472,-43.508896,539.747559,0.110000,59.000000,67.000000,135.787000,4.041000,1000.000000,1000.000000
1,172.779093,-43.504280,539.747559,0.000000,59.000000,67.000000,135.787000,4.241000,1000.000000,1000.000000
1,172.789712,-43.499662,539.747559,0.000000,59.000000,67.000000,135.787000,4.462000,1000.000000,1000.000000
1,172.590139,-43.590250,1460.252440,0.000000,59.000000,67.000000,135.787000,4.966000,1000.000000,1000.000000
1,172.600787,-43.585650,1460.252440,0.000000,59.000000,67.000000,135.787000,4.691000,1000.000000,1000.000000
1,172.611435,-43.581049,1460.252440,0.000000,59.000000,67.000000,135.787000,4.427000,1000.000000,1000.000000
1,172.622080,-43.576447,1460.252440,0.000000,59.000000,67.000000,135.787000,4.177000,1000.000000,1000.000000
1,172.632724,-43.571844,1460.252440,0.000000,59.000000,67.000000,135.787000,3.943000,1000.000000,1000.000000
1,172.643367,-43.567241,1460.252440,0.000000,59.000000,67.000000,135.787000,3.729000,1000.000000,1000.000000
1,172.654008,-43.562636,1460.252440,0.000000,59.000000,67.000000,135.787000,3.538000,1000.000000,1000.000000
1,172.664647,-43.558030,1460.252440,0.070000,59.000000,67.000000,135.787000,3.373000,1000.000000,1000.000000
1,172.675284,-43.553423,1460.252440,0.240000,59.000000,67.000000,135.787000,3.240000,1000.000000,1000.000000
1,172.685920,-43.548815,1460.252440,0.630000,59.000000,67.000000,135.787000,3.142000,1000.000000,1000.000000
1,172.696555,-43.544207,1460.252440,1.300000,59.000000,67.000000,135.787000,3.082000,1000.000000,1000.000000
1,172.707188,-43.539597,1460.252440,2.060000,59.000000,67.000000,135.787000,3.063000,1000.000000,1000.000000
1,172.717819,-43.534986,1460.252440,2.550000,59.000000,67.000000,135.787000,3.085000,1000.000000,1000.000000
1,172.728448,-43.530374,1460.252440,2.440000,59.000000,67.000000,135.787000,3.148000,1000.000000,1000.000000
1,172.739076,-43.525762,1460.252440,1.820000,59.000000,67.000000,135.787000,3.249000,1000.000000,1000.000000
1,172.749702,-43.521148,1460.252440,1.050000,59.000000,67.000000,135.787000,3.384000,1000.000000,1000.000000
1,172.760327,-43.516533,1460.252440,0.470000,59.000000,67.000000,135.787000,3.551000,1000.000000,1000.000000
1,172.770950,-43.511917,1460.252440,0.160000,59.000000,67.000000,135.787000,3.744000,1000.000000,1000.000000
1,172.781571,-43.507300,1460.252440,0.040000,59.000000,67.000000,135.787000,3.960000,1000.000000,1000.000000
1,172.792191,-43.502683,1460.252440,0.000000,59.000000,67.000000,135.787000,4.195000,1000.000000,1000.000000
1,172.592611,-43.593274,2380.757320,0.000000,59.000000,67.000000,135.787000,4.755000,1000.000000,1000.000000
1,172.603260,-43.588674,2380.757320,0.000000,59.000000,67.000000,135.787000,4.466000,1000.000000,1000.000000
1,172.613908,-43.584073,2380.757320,0.000000,59.000000,67.000000,135.787000,4.188000,1000.000000,1000.000000
1,172.624554,-43.579471,2380.757320,0.000000,59.000000,67.000000,135.787000,3.923000,1000.000000,1000.000000
1,172.635198,-43.574868,2380.757320,0.000000,59.000000,67.000000,135.787000,3.673000,1000.000000,1000.000000
1,172.645841,-43.570264,2380.757320,0.000000,59.000000,67.000000,135.787000,3.442000,1000.000000,1000.000000
1,172.656482,-43.565659,2380.757320,0.000000,59.000000,67.000000,135.787000,3.234000,1000.000000,1000.000000
1,172.667122,-43.561053,2380.757320,0.090000,59.000000,67.000000,135.787000,3.053000,1000.000000,1000.000000
1,172.677760,-43.556446,2380.757320,0.320000,59.000000,67.000000,135.787000,2.905000,1000.000000,1000.000000
1,172.688396,-43.551838,2380.757320,0.840000,59.000000,67.000000,135.787000,2.795000,1000.000000,1000.000000
1,172.699031,-43.547229,2380.757320,1.720000,59.000000,67.000000,135.787000,2.728000,1000.000000,1000.000000
1,172.709664,-43.542619,2380.757320,2.730000,59.000000,67.000000,135.787000,2.706000,1000.000000,1000.000000
1,172.720295,-43.538008,2380.757320,3.370000,59.000000,67.000000,135.787000,2.732000,1000.000000,1000.000000
1,172.730925,-43.533396,2380.757320,3.230000,59.000000,67.000000,135.787000,2.802000,1000.000000,1000.000000
1,172.741553,-43.528783,2380.757320,2.410000,59.000000,67.000000,135.787000,2.915000,1000.000000,1000.000000
1,172.752180,-43.524169,2380.757320,1.390000,59.000000,67.000000,135.787000,3.065000,1000.000000,1000.000000
1,172.762805,-43.519554,2380.757320,0.620000,59.000000,67.000000,135.787000,3.248000,1000.000000,1000.000000
1,172.773428,-43.514938,2380.757320,0.220000,59.000000,67.000000,135.787000,3.458000,1000.000000,1000.000000
1,172.784050,-43.510321,2380.757320,0.060000,59.000000,67.000000,135.787000,3.691000,1000.000000,1000.000000
1,172.794670,-43.505703,2380.757320,0.000000,59.000000,67.000000,135.787000,3.942000,1000.000000,1000.000000
1,172.595084,-43.596299,3301.262210,0.000000,59.000000,67.000000,135.787000,4.561000,1000.000000,1000.000000
1,172.605733,-43.591698,3301.262210,0.000000,59.000000,67.000000,135.787000,4.260000,1000.000000,1000.000000
1,172.616381,-43.587097,3301.262210,0.000000,59.000000,67.000000,135.787000,3.967000,1000.000000,1000.000000
1,172.627028,-43.582495,3301.262210,0.000000,59.000000,67.000000,135.787000,3.686000,1000.000000,1000.000000
1,172.637673,-43.577892,3301.262210,0.000000,59.000000,67.000000,135.787000,3.419000,1000.000000,1000.000000
1,172.648316,-43.573287,3301.262210,0.000000,59.000000,67.000000,135.787000,3.169000,1000.000000,1000.000000
1,172.658957,-43.568682,3301.262210,0.000000,59.000000,67.000000,135.787000,2.942000,1000.000000,1000.000000
1,172.669597,-43.564076,3301.262210,0.110000,59.000000,67.000000,135.787000,2.742000,1000.000000,1000.000000
1,172.680235,-43.559469,3301.262210,0.370000,59.000000,67.000000,135.787000,2.576000,1000.000000,1000.000000
1,172.690872,-43.554860,3301.262210,0.980000,59.000000,67.000000,135.787000,2.452000,1000.000000,1000.000000
1,172.701507,-43.550251,3301.262210,2.020000,59.000000,67.000000,135.787000,2.375000,1000.000000,1000.000000
1,172.712141,-43.545641,3301.262210,3.210000,59.000000,67.000000,135.787000,2.350000,1000.000000,1000.000000
1,172.722772,-43.541030,3301.262210,3.970000,59.000000,67.000000,135.787000,2.379000,1000.000000,1000.000000
1,172.733403,-43.536417,3301.262210,3.800000,59.000000,67.000000,135.787000,2.459000,1000.000000,1000.000000
1,172.744031,-43.531804,3301.262210,2.830000,59.000000,67.000000,135.787000,2.587000,1000.000000,1000.000000
1,172.754658,-43.527190,3301.262210,1.630000,59.000000,67.000000,135.787000,2.756000,1000.000000,1000.000000
1,172.765283,-43.522575,3301.262210,0.730000,59.000000,67.000000,135.787000,2.958000,1000.000000,1000.000000
1,172.775907,-43.517958,3301.262210,0.250000,59.000000,67.000000,135.787000,3.187000,1000.000000,1000.000000
1,172.786529,-43.513341,3301.262210,0.070000,59.000000,67.000000,135.787000,3.438000,1000.000000,1000.000000
1,172.797150,-43.508723,3301.262210,0.000000,59.000000,67.000000,135.787000,3.706000,1000.000000,1000.000000
1,172.597557,-43.599323,4221.767090,0.000000,59.000000,67.000000,135.787000,4.388000,1000.000000,1000.000000
1,172.608207,-43.594723,4221.767090,0.000000,59.000000,67.000000,135.787000,4.074000,1000.000000,1000.000000
1,172.618855,-43.590121,4221.767090,0.000000,59.000000,67.000000,135.787000,3.767000,1000.000000,1000.000000
1,172.629502,-43.585519,4221.767090,0.000000,59.000000,67.000000,135.787000,3.469000,1000.000000,1000.000000
1,172.640147,-43.580915,4221.767090,0.000000,59.000000,67.000000,135.787000,3.184000,1000.000000,1000.000000
1,172.650790,-43.576311,4221.767090,0.000000,59.000000,67.000000,135.787000,2.915000,1000.000000,1000.000000
1,172.661432,-43.571705,4221.767090,0.000000,59.000000,67.000000,135.787000,2.666000,1000.000000,1000.000000
1,172.672073,-43.567099,4221.767090,0.110000,59.000000,67.000000,135.787000,2.443000,1000.000000,1000.000000
1,172.682711,-43.562491,4221.767090,0.390000,59.000000,67.000000,135.787000,2.256000,1000.000000,1000.000000
1,172.693348,-43.557883,4221.767090,1.030000,59.000000,67.000000,135.787000,2.113000,1000.000000,1000.000000
1,172.703984,-43.553273,4221.767090,2.110000,59.000000,67.000000,135.787000,2.023000,1000.000000,1000.000000
1,172.714617,-43.548663,4221.767090,3.360000,59.000000,67.000000,135.787000,1.993000,1000.000000,1000.000000
1,172.725250,-43.544051,4221.767090,4.150000,59.000000,67.000000,135.787000,2.027000,1000.000000,1000.000000
1,172.735880,-43.539439,4221.767090,3.980000,59.000000,67.000000,135.787000,2.121000,1000.000000,1000.000000
1,172.746509,-43.534825,4221.767090,2.960000,59.000000,67.000000,135.787000,2.268000,1000.000000,1000.000000
1,172.757136,-43.530211,4221.767090,1.710000,59.000000,67.000000,135.787000,2.459000,1000.000000,1000.000000
1,172.767762,-43.525595,4221.767090,0.770000,59.000000,67.000000,135.787000,2.683000,1000.000000,1000.000000
1,172.778386,-43.520979,4221.767090,0.270000,59.000000,67.000000,135.787000,2.934000,1000.000000,1000.000000
1,172.789009,-43.516362,4221.767090,0.070000,59.000000,67.000000,135.787000,3.205000,1000.000000,1000.000000
1,172.799629,-43.511743,4221.767090,0.000000,59.000000,67.000000,135.787000,3.491000,1000.000000,1000.000000
1,172.600030,-43.602347,5142.271970,0.000000,59.000000,67.000000,135.787000,4.238000,1000.000000,1000.000000
1,172.610681,-43.597747,5142.271970,0.000000,59.000000,67.000000,135.787000,3.912000,1000.000000,1000.000000
1,172.621329,-43.593145,5142.271970,0.000000,59.000000,67.000000,135.787000,3.591000,1000.000000,1000.000000
1,172.631976,-43.588542,5142.271970,0.000000,59.000000,67.000000,135.787000,3.277000,1000.000000,1000.000000
1,172.642622,-43.583939,5142.271970,0.000000,59.000000,67.000000,135.787000,2.974000,1000.000000,1000.000000
1,172.653266,-43.579334,5142.271970,0.000000,59.000000,67.000000,135.787000,2.683000,1000.000000,1000.000000
1,172.663908,-43.574728,5142.271970,0.000000,59.000000,67.000000,135.787000,2.411000,1000.000000,1000.000000
