segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupturetime (s),length (m),width (m)
1,172.696121,-43.553604,1.489170,0.199332,69.000000,78.000000,-46.590200,nan,1.000000,1.000000
1,172.707703,-43.550381,2.467320,0.165717,69.000000,78.000000,-32.924800,nan,1.000000,1.000000
1,172.719284,-43.547157,3.445470,0.076199,69.000000,78.000000,162.194000,nan,1.000000,1.000000
1,172.730865,-43.543938,4.423620,0.356764,69.000000,78.000000,169.877000,nan,1.000000,1.000000
1,172.742462,-43.540710,5.401760,0.532161,69.000000,78.000000,174.260000,nan,1.000000,1.000000
1,172.754028,-43.537491,6.379910,0.578293,69.000000,78.000000,175.220000,nan,1.000000,1.000000
1,172.765625,-43.534267,7.358060,0.519947,69.000000,78.000000,176.914000,nan,1.000000,1.000000
1,172.777206,-43.531044,8.336210,0.387919,69.000000,78.000000,-179.018000,nan,1.000000,1.000000
1,172.788788,-43.527824,1.489170,0.233180,69.000000,78.000000,-171.540000,nan,1.000000,1.000000
1,172.800369,-43.524597,2.467320,0.103532,69.000000,78.000000,-157.826000,nan,1.000000,1.000000
1,172.811951,-43.521378,3.445470,0.026779,69.000000,78.000000,-126.809000,nan,1.000000,1.000000
1,172.697052,-43.555351,4.423620,0.131900,69.000000,78.000000,-46.916600,nan,1.000000,1.000000
1,172.708618,-43.552124,5.401760,0.054334,69.000000,78.000000,9.049940,nan,1.000000,1.000000
1,172.720215,-43.548904,6.379910,0.262076,69.000000,78.000000,137.147000,nan,1.000000,1.000000
1,172.731796,-43.545681,7.358060,0.581336,69.000000,78.000000,153.852000,nan,1.000000,1.000000
1,172.743378,-43.542458,8.336210,0.797220,69.000000,78.000000,162.644000,nan,1.000000,1.000000
1,172.754959,-43.539238,1.489170,0.857283,69.000000,78.000000,167.920000,nan,1.000000,1.000000
1,172.766541,-43.536011,2.467320,0.771216,69.000000,78.000000,172.634000,nan,1.000000,1.000000
1,172.778137,-43.532791,3.445470,0.584417,69.000000,78.000000,178.406000,nan,1.000000,1.000000
1,172.789703,-43.529568,4.423620,0.365524,69.000000,78.000000,-173.675000,nan,1.000000,1.000000
1,172.801300,-43.526344,5.401760,0.176237,69.000000,78.000000,-162.055000,nan,1.000000,1.000000
1,172.812881,-43.523121,6.379910,0.051812,69.000000,78.000000,-143.133000,nan,1.000000,1.000000
1,172.697968,-43.557095,7.358060,0.021728,69.000000,78.000000,72.083400,nan,1.000000,1.000000
1,172.709549,-43.553871,8.336210,0.204971,69.000000,78.000000,111.663000,nan,1.000000,1.000000
1,172.721130,-43.550652,1.489170,0.506892,69.000000,78.000000,127.835000,nan,1.000000,1.000000
1,172.732727,-43.547424,2.467320,0.805769,69.000000,78.000000,140.463000,nan,1.000000,1.000000
1,172.744293,-43.544205,3.445470,0.998279,69.000000,78.000000,150.298000,nan,1.000000,1.000000
1,172.755890,-43.540981,4.423620,1.034650,69.000000,78.000000,158.048000,nan,1.000000,1.000000
1,172.767471,-43.537758,5.401760,0.918386,69.000000,78.000000,164.993000,nan,1.000000,1.000000
1,172.779053,-43.534538,6.379910,0.697539,69.000000,78.000000,172.245000,nan,1.000000,1.000000
1,172.790634,-43.531311,7.358060,0.443578,69.000000,78.000000,-179.239000,nan,1.000000,1.000000
1,172.802216,-43.528091,8.336210,0.220852,69.000000,78.000000,-168.343000,nan,1.000000,1.000000
1,172.813812,-43.524868,1.489170,0.067894,69.000000,78.000000,-153.063000,nan,1.000000,1.000000
1,172.698883,-43.558838,2.467320,0.119676,69.000000,78.000000,112.100000,nan,1.000000,1.000000
1,172.710480,-43.555618,3.445470,0.365618,69.000000,78.000000,115.181000,nan,1.000000,1.000000
1,172.722061,-43.552395,4.423620,0.664305,69.000000,78.000000,123.085000,nan,1.000000,1.000000
1,172.733643,-43.549171,5.401760,0.921885,69.000000,78.000000,132.333000,nan,1.000000,1.000000
1,172.745224,-43.545952,6.379910,1.065550,69.000000,78.000000,141.325000,nan,1.000000,1.000000
1,172.756805,-43.542725,7.358060,1.062680,69.000000,78.000000,149.614000,nan,1.000000,1.000000
1,172.768402,-43.539505,8.336210,0.923299,69.000000,78.000000,157.497000,nan,1.000000,1.000000
1,172.779968,-43.536282,1.489170,0.694220,69.000000,78.000000,165.556000,nan,1.000000,1.000000
1,172.791565,-43.533058,2.467320,0.440266,69.000000,78.000000,174.506000,nan,1.000000,1.000000
1,172.803146,-43.529835,3.445470,0.219424,69.000000,78.000000,-174.757000,nan,1.000000,1.000000
1,172.814728,-43.526611,4.423620,0.067318,69.000000,78.000000,-160.631000,nan,1.000000,1.000000
1,172.699814,-43.560585,5.401760,0.151957,69.000000,78.000000,111.031000,nan,1.000000,1.000000
1,172.711395,-43.557365,6.379910,0.401137,69.000000,78.000000,113.775000,nan,1.000000,1.000000
1,172.722992,-43.554138,7.358060,0.663895,69.000000,78.000000,119.669000,nan,1.000000,1.000000
1,172.734558,-43.550919,8.336210,0.868292,69.000000,78.000000,127.121000,nan,1.000000,1.000000
1,172.746155,-43.547695,1.489170,0.964261,69.000000,78.000000,135.060000,nan,1.000000,1.000000
1,172.757736,-43.544472,2.467320,0.933873,69.000000,78.000000,142.999000,nan,1.000000,1.000000
1,172.769318,-43.541252,3.445470,0.792921,69.000000,78.000000,150.930000,nan,1.000000,1.000000
1,172.780899,-43.538025,4.423620,0.584363,69.000000,78.000000,159.155000,nan,1.000000,1.000000
1,172.792480,-43.534805,5.401760,0.362721,69.000000,78.000000,168.211000,nan,1.000000,1.000000
1,172.804077,-43.531582,6.379910,0.175491,69.000000,78.000000,178.935000,nan,1.000000,1.000000
1,172.815643,-43.528358,7.358060,0.051179,69.000000,78.000000,-166.862000,nan,1.000000,1.000000
1,172.700745,-43.562332,8.336210,0.122581,69.000000,78.000000,105.522000,nan,1.000000,1.000000
1,172.712326,-43.559109,1.489170,0.321026,69.000000,78.000000,110.807000,nan,1.000000,1.000000
1,172.723907,-43.555885,2.467320,0.520961,69.000000,78.000000,117.271000,nan,1.000000,1.000000
1,172.735489,-43.552666,3.445470,0.667943,69.000000,78.000000,124.236000,nan,1.000000,1.000000
1,172.747070,-43.549438,4.423620,0.728001,69.000000,78.000000,131.347000,nan,1.000000,1.000000
1,172.758667,-43.546219,5.401760,0.690897,69.000000,78.000000,138.533000,nan,1.000000,1.000000
