segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupturetime (s),length (m),width (m)
1,174.323000,-41.650900,0.000000,0.044280,234.000000,74.900000,90.000000,nan,1000.000000,1035.762000
1,174.321200,-41.648900,1000.000000,0.045930,234.000000,74.900000,110.920000,nan,1000.000000,1035.762000
1,174.319400,-41.646800,2000.000000,0.054680,234.000000,74.900000,126.600000,nan,1000.000000,1035.762000
1,174.317600,-41.644800,3000.000000,0.066410,234.000000,74.900000,136.240000,nan,1000.000000,1035.762000
1,174.315700,-41.642800,4000.000000,0.078290,234.000000,74.900000,142.110000,nan,1000.000000,1035.762000
1,174.313900,-41.640800,5000.000000,0.088690,234.000000,74.900000,145.940000,nan,1000.000000,1035.762000
1,174.312100,-41.638800,6000.000000,0.096690,234.000000,74.900000,148.690000,nan,1000.000000,1035.762000
1,174.310300,-41.636800,7000.000000,0.101740,234.000000,74.900000,150.870000,nan,1000.000000,1035.762000
1,174.308500,-41.634800,8000.000000,0.103640,234.000000,74.900000,152.750000,nan,1000.000000,1035.762000
1,174.306700,-41.632800,9000.000000,0.102440,234.000000,74.900000,154.480000,nan,1000.000000,1035.762000
1,174.304900,-41.630800,10000.000000,0.098370,234.000000,74.900000,156.140000,nan,1000.000000,1035.762000
1,174.303000,-41.628700,11000.000000,0.091830,234.000000,74.900000,157.780000,nan,1000.000000,1035.762000
1,174.301200,-41.626700,12000.000000,0.083340,234.000000,74.900000,159.410000,nan,1000.000000,1035.762000
1,174.299400,-41.624700,13000.000000,0.073450,234.000000,74.900000,161.040000,nan,1000.000000,1035.762000
1,174.297600,-41.622700,14000.000000,0.062730,234.000000,74.900000,162.670000,nan,1000.000000,1035.762000
1,174.295800,-41.620700,15000.000000,0.051750,234.000000,74.900000,164.300000,nan,1000.000000,1035.762000
1,174.294000,-41.618700,16000.000000,0.041020,234.000000,74.900000,165.910000,nan,1000.000000,1035.762000
1,174.292200,-41.616700,17000.000000,0.030970,234.000000,74.900000,167.510000,nan,1000.000000,1035.762000
1,174.290300,-41.614700,18000.000000,0.021990,234.000000,74.900000,169.110000,nan,1000.000000,1035.762000
1,174.288500,-41.612700,19000.000000,0.014360,234.000000,74.900000,170.710000,nan,1000.000000,1035.762000
1,174.286700,-41.610600,20000.000000,0.008300,234.000000,74.900000,172.350000,nan,1000.000000,1035.762000
1,174.284900,-41.608600,21000.000000,0.003900,234.000000,74.900000,174.090000,nan,1000.000000,1035.762000
1,174.283100,-41.606600,22000.000000,0.001170,234.000000,74.900000,176.090000,nan,1000.000000,1035.762000
1,174.281300,-41.604600,23000.000000,0.000000,234.000000,74.900000,180.000000,nan,1000.000000,1035.762000
1,174.279500,-41.602600,24000.000000,0.000000,234.000000,74.900000,180.000000,nan,1000.000000,1035.762000
1,174.313100,-41.655900,0.000000,0.084460,234.000000,74.900000,90.000000,nan,1000.000000,1035.762000
1,174.311300,-41.653900,1000.000000,0.091190,234.000000,74.900000,114.300000,nan,1000.000000,1035.762000
1,174.309400,-41.651900,2000.000000,0.113590,234.000000,74.900000,130.770000,nan,1000.000000,1035.762000
1,174.307600,-41.649900,3000.000000,0.141510,234.000000,74.900000,140.100000,nan,1000.000000,1035.762000
1,174.305800,-41.647900,4000.000000,0.168940,234.000000,74.900000,145.550000,nan,1000.000000,1035.762000
1,174.304000,-41.645900,5000.000000,0.192660,234.000000,74.900000,149.050000,nan,1000.000000,1035.762000
1,174.302200,-41.643800,6000.000000,0.210850,234.000000,74.900000,151.540000,nan,1000.000000,1035.762000
1,174.300400,-41.641800,7000.000000,0.222460,234.000000,74.900000,153.520000,nan,1000.000000,1035.762000
1,174.298600,-41.639800,8000.000000,0.227110,234.000000,74.900000,155.240000,nan,1000.000000,1035.762000
1,174.296700,-41.637800,9000.000000,0.224920,234.000000,74.900000,156.840000,nan,1000.000000,1035.762000
1,174.294900,-41.635800,10000.000000,0.216430,234.000000,74.900000,158.380000,nan,1000.000000,1035.762000
1,174.293100,-41.633800,11000.000000,0.202510,234.000000,74.900000,159.900000,nan,1000.000000,1035.762000
1,174.291300,-41.631800,12000.000000,0.184260,234.000000,74.900000,161.430000,nan,1000.000000,1035.762000
1,174.289500,-41.629800,13000.000000,0.162900,234.000000,74.900000,162.950000,nan,1000.000000,1035.762000
1,174.287700,-41.627800,14000.000000,0.139660,234.000000,74.900000,164.470000,nan,1000.000000,1035.762000
1,174.285800,-41.625700,15000.000000,0.115780,234.000000,74.900000,165.980000,nan,1000.000000,1035.762000
1,174.284000,-41.623700,16000.000000,0.092350,234.000000,74.900000,167.490000,nan,1000.000000,1035.762000
1,174.282200,-41.621700,17000.000000,0.070370,234.000000,74.900000,169.000000,nan,1000.000000,1035.762000
1,174.280400,-41.619700,18000.000000,0.050650,234.000000,74.900000,170.500000,nan,1000.000000,1035.762000
1,174.278600,-41.617700,19000.000000,0.033830,234.000000,74.900000,172.020000,nan,1000.000000,1035.762000
1,174.276800,-41.615700,20000.000000,0.020340,234.000000,74.900000,173.610000,nan,1000.000000,1035.762000
1,174.275000,-41.613700,21000.000000,0.010400,234.000000,74.900000,175.320000,nan,1000.000000,1035.762000
1,174.273100,-41.611700,22000.000000,0.004000,234.000000,74.900000,177.360000,nan,1000.000000,1035.762000
1,174.271300,-41.609700,23000.000000,0.000790,234.000000,74.900000,180.000000,nan,1000.000000,1035.762000
1,174.269500,-41.607600,24000.000000,0.000000,234.000000,74.900000,180.000000,nan,1000.000000,1035.762000
1,174.303100,-41.661000,0.000000,0.117310,234.000000,74.900000,90.000000,nan,1000.000000,1035.762000
1,174.301300,-41.659000,1000.000000,0.133260,234.000000,74.900000,117.250000,nan,1000.000000,1035.762000
1,174.299500,-41.656900,2000.000000,0.173150,234.000000,74.900000,133.790000,nan,1000.000000,1035.762000
1,174.297700,-41.654900,3000.000000,0.219660,234.000000,74.900000,142.520000,nan,1000.000000,1035.762000
