segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupturetime (s),length (m),width (m)
1,176.073193,-40.522868,14248.285200,0.000000,213.000000,56.000000,247.363000,7.845000,2000.000000,2000.000000
1,176.061039,-40.538299,14248.285200,0.000000,213.000000,56.000000,247.363000,7.420000,2000.000000,2000.000000
1,176.048880,-40.553729,14248.285200,0.000000,213.000000,56.000000,247.363000,7.021000,2000.000000,2000.000000
1,176.036715,-40.569157,14248.285200,0.000000,213.000000,56.000000,247.363000,6.655000,2000.000000,2000.000000
1,176.024544,-40.584584,14248.285200,0.000000,213.000000,56.000000,247.363000,6.328000,2000.000000,2000.000000
1,176.012368,-40.600011,14248.285200,0.000000,213.000000,56.000000,247.363000,6.046000,2000.000000,2000.000000
1,176.000187,-40.615436,14248.285200,0.000000,213.000000,56.000000,247.363000,5.815000,2000.000000,2000.000000
1,175.988000,-40.630860,14248.285200,0.000000,213.000000,56.000000,247.363000,5.642000,2000.000000,2000.000000
1,175.975808,-40.646282,14248.285200,0.000000,213.000000,56.000000,247.363000,5.533000,2000.000000,2000.000000
1,175.963610,-40.661704,14248.285200,0.000000,213.000000,56.000000,247.363000,5.492000,2000.000000,2000.000000
1,175.951407,-40.677125,14248.285200,0.000000,213.000000,56.000000,247.363000,5.519000,2000.000000,2000.000000
1,175.939198,-40.692544,14248.285200,0.000000,213.000000,56.000000,247.363000,5.615000,2000.000000,2000.000000
1,175.926984,-40.707962,14248.285200,0.000000,213.000000,56.000000,247.363000,5.776000,2000.000000,2000.000000
1,175.914764,-40.723379,14248.285200,0.000000,213.000000,56.000000,247.363000,5.996000,2000.000000,2000.000000
1,175.902539,-40.738795,14248.285200,0.000000,213.000000,56.000000,247.363000,6.269000,2000.000000,2000.000000
1,175.890308,-40.754210,14248.285200,0.000000,213.000000,56.000000,247.363000,6.588000,2000.000000,2000.000000
1,175.878072,-40.769624,14248.285200,0.000000,213.000000,56.000000,247.363000,6.947000,2000.000000,2000.000000
