segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupturetime (s),length (m),width (m)
1,172.665796,-43.504377,1390.076170,0.000000,54.000000,65.000000,118.459000,4.610000,1000.000000,1000.000000
1,172.675832,-43.499113,1390.076170,0.000000,54.000000,65.000000,118.459000,4.509000,1000.000000,1000.000000
1,172.685867,-43.493849,1390.076170,0.000000,54.000000,65.000000,118.459000,4.418000,1000.000000,1000.000000
1,172.695899,-43.488583,1390.076170,0.000000,54.000000,65.000000,118.459000,4.336000,1000.000000,1000.000000
1,172.705930,-43.483317,1390.076170,0.000000,54.000000,65.000000,118.459000,4.265000,1000.000000,1000.000000
1,172.715959,-43.478050,1390.076170,0.000000,54.000000,65.000000,118.459000,4.206000,1000.000000,1000.000000
1,172.725986,-43.472781,1390.076170,0.000000,54.000000,65.000000,118.459000,4.158000,1000.000000,1000.000000
1,172.736012,-43.467512,1390.076170,0.020000,54.000000,65.000000,118.459000,4.122000,1000.000000,1000.000000
1,172.746035,-43.462243,1390.076170,0.040000,54.000000,65.000000,118.459000,4.098000,1000.000000,1000.000000
1,172.756058,-43.456972,1390.076170,0.050000,54.000000,65.000000,118.459000,4.087000,1000.000000,1000.000000
1,172.766078,-43.451700,1390.076170,0.040000,54.000000,65.000000,118.459000,4.089000,1000.000000,1000.000000
1,172.776096,-43.446427,1390.076170,0.020000,54.000000,65.000000,118.459000,4.103000,1000.000000,1000.000000
1,172.786113,-43.441154,1390.076170,0.000000,54.000000,65.000000,118.459000,4.130000,1000.000000,1000.000000
1,172.796128,-43.435880,1390.076170,0.000000,54.000000,65.000000,118.459000,4.169000,1000.000000,1000.000000
1,172.806142,-43.430604,1390.076170,0.000000,54.000000,65.000000,118.459000,4.220000,1000.000000,1000.000000
1,172.816153,-43.425328,1390.076170,0.000000,54.000000,65.000000,118.459000,4.282000,1000.000000,1000.000000
1,172.826163,-43.420051,1390.076170,0.000000,54.000000,65.000000,118.459000,4.356000,1000.000000,1000.000000
1,172.836171,-43.414773,1390.076170,0.000000,54.000000,65.000000,118.459000,4.440000,1000.000000,1000.000000
1,172.846178,-43.409495,1390.076170,0.000000,54.000000,65.000000,118.459000,4.533000,1000.000000,1000.000000
1,172.856182,-43.404215,1390.076170,0.000000,54.000000,65.000000,118.459000,4.637000,1000.000000,1000.000000
1,172.668852,-43.507465,2296.384030,0.000000,54.000000,65.000000,118.459000,4.409000,1000.000000,1000.000000
1,172.678889,-43.502201,2296.384030,0.000000,54.000000,65.000000,118.459000,4.304000,1000.000000,1000.000000
1,172.688923,-43.496936,2296.384030,0.000000,54.000000,65.000000,118.459000,4.208000,1000.000000,1000.000000
1,172.698956,-43.491670,2296.384030,0.000000,54.000000,65.000000,118.459000,4.122000,1000.000000,1000.000000
1,172.708987,-43.486403,2296.384030,0.000000,54.000000,65.000000,118.459000,4.048000,1000.000000,1000.000000
1,172.719016,-43.481136,2296.384030,0.000000,54.000000,65.000000,118.459000,3.985000,1000.000000,1000.000000
1,172.729044,-43.475867,2296.384030,0.020000,54.000000,65.000000,118.459000,3.934000,1000.000000,1000.000000
1,172.739069,-43.470598,2296.384030,0.040000,54.000000,65.000000,118.459000,3.896000,1000.000000,1000.000000
