segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupturetime (s),length (m),width (m)
1,174.077200,-41.950640,1562.500000,4.892810,223.340000,70.000000,177.177700,nan,2000.000000,3325.556000
1,174.094300,-41.937980,1562.500000,4.658730,223.340000,70.000000,174.359500,nan,2000.000000,3325.556000
1,174.111400,-41.925320,1562.500000,3.950590,223.340000,70.000000,168.752800,nan,2000.000000,3325.556000
1,174.128500,-41.912660,1562.500000,3.561020,223.340000,70.000000,160.610800,nan,2000.000000,3325.556000
1,174.145600,-41.900000,1562.500000,3.143060,223.340000,70.000000,155.024400,nan,2000.000000,3325.556000
1,174.162700,-41.887340,1562.500000,2.954480,223.340000,70.000000,156.236800,nan,2000.000000,3325.556000
1,174.179800,-41.874680,1562.500000,3.268900,223.340000,70.000000,167.791000,nan,2000.000000,3325.556000
1,174.196900,-41.862020,1562.500000,2.903730,223.340000,70.000000,169.359000,nan,2000.000000,3325.556000
1,174.214000,-41.849360,1562.500000,2.898010,223.340000,70.000000,173.953500,nan,2000.000000,3325.556000
1,174.231100,-41.836700,1562.500000,3.150760,223.340000,70.000000,178.630300,nan,2000.000000,3325.556000
1,174.248200,-41.824040,1562.500000,3.387560,223.340000,70.000000,170.953400,nan,2000.000000,3325.556000
1,174.265300,-41.811380,1562.500000,3.251970,223.340000,70.000000,168.757300,nan,2000.000000,3325.556000
1,174.282400,-41.798720,1562.500000,2.750510,223.340000,70.000000,170.700900,nan,2000.000000,3325.556000
1,174.299500,-41.786060,1562.500000,3.094480,223.340000,70.000000,173.038700,nan,2000.000000,3325.556000
1,174.316600,-41.773400,1562.500000,3.371130,223.340000,70.000000,179.462900,nan,2000.000000,3325.556000
1,174.333700,-41.760740,1562.500000,3.919070,223.340000,70.000000,180.000000,nan,2000.000000,3325.556000
1,174.350800,-41.748080,1562.500000,4.178420,223.340000,70.000000,180.000000,nan,2000.000000,3325.556000
1,174.367900,-41.735420,1562.500000,3.944850,223.340000,70.000000,180.000000,nan,2000.000000,3325.556000
1,174.385000,-41.722760,1562.500000,3.047830,223.340000,70.000000,180.000000,nan,2000.000000,3325.556000
1,174.402100,-41.710100,1562.500000,1.652520,223.340000,70.000000,180.000000,nan,2000.000000,3325.556000
